Acceleration in X,Acceleration in Y,Acceleration in Z,,Taken with IMU lying straight
4,9,1029,,
1,10,1031,,
3,9,1030,,
3,8,1029,,
2,10,1031,,
1,10,1031,,
3,11,1031,,
2,11,1034,,
1,10,1035,,
2,10,1030,,
0,11,1032,,
2,9,1034,,
5,9,1028,,
2,10,1029,,
3,9,1029,,
2,9,1029,,
4,9,1035,,
1,11,1030,,
2,11,1033,,
3,9,1032,,
4,13,1034,,
4,10,1029,,
2,12,1033,,
2,9,1029,,
1,10,1030,,
2,12,1030,,
0,10,1031,,
0,11,1030,,
3,10,1030,,
2,9,1034,,
1,10,1030,,
2,10,1035,,
2,11,1031,,
3,11,1032,,
3,11,1032,,
3,12,1034,,
2,11,1033,,
0,10,1030,,
4,10,1027,,
2,11,1032,,
1,10,1033,,
2,10,1029,,
2,8,1031,,
4,10,1029,,
2,12,1035,,
2,10,1033,,
2,9,1029,,
3,11,1029,,
3,10,1029,,
3,10,1031,,
3,9,1028,,
4,12,1033,,
1,12,1029,,
2,9,1030,,
2,10,1033,,
5,10,1033,,
2,10,1028,,
3,12,1030,,
1,10,1032,,
1,9,1032,,
1,9,1032,,
2,13,1031,,
4,12,1029,,
4,10,1031,,
2,10,1031,,
1,10,1031,,
1,9,1032,,
1,10,1030,,
3,10,1032,,
2,9,1034,,
2,10,1034,,
2,12,1028,,
2,10,1035,,
4,9,1030,,
1,10,1031,,
2,11,1032,,
4,11,1031,,
3,11,1032,,
0,9,1031,,
2,10,1033,,
2,9,1033,,
3,10,1031,,
2,9,1030,,
3,10,1029,,
3,11,1031,,
1,11,1027,,
3,10,1028,,
2,10,1033,,
3,11,1032,,
1,11,1029,,
2,9,1033,,
2,8,1031,,
4,8,1033,,
3,10,1032,,
2,10,1031,,
2,10,1029,,
3,12,1032,,
0,9,1032,,
2,11,1031,,
2,8,1036,,
3,10,1031,,
2,12,1031,,
3,11,1030,,
4,9,1032,,
3,10,1033,,
3,9,1036,,
2,9,1033,,
4,10,1030,,
2,9,1031,,
3,11,1030,,
2,11,1031,,
2,10,1032,,
1,10,1030,,
4,11,1031,,
2,9,1033,,
2,10,1034,,
2,11,1030,,
1,10,1031,,
0,11,1032,,
2,11,1033,,
4,8,1031,,
2,9,1034,,
3,11,1028,,
3,12,1032,,
2,10,1031,,
4,10,1031,,
1,11,1032,,
2,11,1030,,
2,11,1036,,
1,10,1031,,
2,8,1034,,
4,11,1035,,
1,10,1031,,
3,11,1031,,
0,11,1033,,
4,10,1029,,
1,9,1033,,
1,10,1032,,
1,11,1031,,
3,9,1029,,
2,9,1033,,
3,11,1032,,
1,11,1031,,
4,9,1030,,
3,10,1031,,
3,11,1031,,
3,10,1028,,
2,9,1032,,
3,8,1032,,
2,11,1034,,
1,9,1035,,
4,11,1030,,
2,12,1030,,
3,11,1031,,
0,11,1029,,
2,12,1029,,
3,11,1033,,
2,10,1032,,
3,12,1034,,
3,11,1032,,
2,9,1031,,
2,11,1031,,
2,11,1029,,
2,9,1030,,
3,9,1031,,
4,11,1031,,
3,11,1028,,
1,11,1031,,
0,12,1029,,
1,11,1032,,
3,10,1027,,
0,10,1035,,
1,9,1031,,
2,9,1029,,
0,12,1028,,
3,11,1030,,
3,10,1027,,
3,10,1031,,
2,10,1032,,
4,9,1029,,
1,10,1035,,
3,12,1030,,
3,9,1030,,
2,13,1030,,
1,9,1032,,
3,11,1032,,
3,10,1028,,
2,9,1033,,
4,10,1031,,
2,10,1030,,
2,11,1035,,
0,12,1032,,
0,8,1033,,
1,11,1031,,
2,11,1033,,
3,10,1032,,
1,10,1028,,
2,9,1028,,
2,9,1031,,
1,12,1032,,
3,10,1031,,
3,11,1029,,
2,10,1031,,
1,10,1030,,
