Acceleration in X,Acceleration in Y,Acceleration in Z
38,25,-997
38,23,-1000
39,26,-999
38,25,-1001
39,24,-998
38,27,-1000
40,25,-997
40,25,-1000
39,26,-1001
39,24,-1001
40,23,-1000
41,25,-1002
39,27,-998
38,26,-1001
39,25,-997
39,24,-998
41,25,-1000
39,26,-1000
40,24,-998
39,25,-997
41,25,-1000
41,25,-998
39,25,-997
38,26,-1000
41,23,-1002
37,25,-998
38,25,-1000
40,25,-998
38,26,-998
39,26,-997
39,23,-999
38,24,-996
39,26,-996
37,26,-1003
39,25,-1002
37,25,-999
39,25,-993
38,26,-998
40,25,-998
40,23,-998
39,25,-999
40,25,-996
40,27,-999
38,23,-999
38,23,-1000
37,26,-1001
38,24,-997
39,25,-997
40,25,-999
40,23,-1000
39,25,-998
39,24,-995
38,27,-1001
38,24,-999
39,23,-1000
38,25,-998
40,24,-998
37,23,-995
39,24,-999
39,24,-1001
39,25,-1000
39,24,-1000
40,26,-997
42,26,-1000
38,23,-998
39,24,-998
39,23,-1000
39,25,-1000
41,26,-995
37,23,-1000
38,27,-1000
41,25,-998
40,26,-997
39,25,-1001
41,26,-1001
39,27,-1000
41,23,-998
38,25,-998
39,25,-999
39,25,-1000
41,26,-1001
39,24,-998
40,23,-997
40,24,-995
40,24,-999
39,26,-999
40,24,-1002
38,24,-1000
38,25,-998
40,25,-997
40,28,-1000
39,26,-997
39,25,-997
40,25,-1001
39,25,-997
38,26,-997
40,25,-997
39,25,-998
39,26,-1001
39,24,-1000
39,26,-997
39,24,-1001
38,24,-998
39,25,-998
39,24,-997
41,27,-1000
37,27,-1000
39,26,-996
38,25,-1001
40,24,-999
38,27,-1001
39,25,-998
39,24,-999
40,25,-1003
41,23,-999
40,24,-995
38,25,-997
39,25,-999
39,24,-999
39,27,-996
40,26,-1000
41,24,-1001
40,25,-997
40,25,-999
39,25,-999
40,24,-1003
39,24,-1001
39,26,-1004
40,25,-998
40,27,-999
40,25,-1000
40,26,-1000
40,24,-999
39,24,-997
39,25,-997
42,25,-998
40,23,-1000
39,25,-995
37,26,-1000
39,25,-998
40,26,-999
40,25,-995
40,25,-1000
39,24,-1000
40,27,-1000
40,23,-998
39,26,-1000
39,24,-1003
39,26,-996
40,25,-998
38,26,-995
38,24,-996
40,23,-998
40,25,-997
40,24,-1002
37,23,-999
41,24,-997
39,26,-999
40,25,-997
38,23,-997
40,26,-998
39,25,-1000
40,23,-998
40,26,-999
40,25,-998
41,24,-995
39,24,-996
38,24,-998
40,24,-998
39,23,-1001
38,21,-1001
40,25,-999
39,23,-999
41,23,-997
39,25,-998
38,25,-1000
39,25,-1002
40,24,-996
41,26,-1001
40,25,-994
40,25,-997
39,25,-997
39,24,-1000
39,25,-1000
38,26,-999
41,25,-997
40,27,-998
40,23,-1000
38,26,-998
38,23,-998
39,24,-998
41,26,-1000
38,25,-1001
39,26,-996
38,25,-996
41,23,-999
40,24,-999
40,24,-995
40,25,-994
40,24,-1000
39,26,-999
41,25,-1000
41,26,-1000
41,27,-996
39,25,-997
39,24,-998
40,25,-1001
41,25,-1000
40,25,-998
38,26,-1000
39,25,-999
40,24,-996
39,24,-999
40,26,-997
40,27,-1001
40,24,-999
41,26,-996
39,25,-999
39,25,-1000
40,25,-1000
40,24,-997
39,26,-1000
40,24,-1000
41,23,-999
41,25,-1000
38,24,-1000
41,26,-997
39,25,-1002
41,24,-998
40,25,-995
40,26,-996
41,24,-997
41,27,-997
40,24,-999
39,24,-999
39,24,-1000
40,24,-1000
39,26,-1000
39,26,-998
40,25,-999
41,26,-1000
39,24,-999
38,24,-995
39,26,-998
39,24,-1000
39,24,-997
38,27,-998
39,24,-1000
41,25,-995
40,24,-997
38,27,-996
41,26,-998
38,24,-1000
40,26,-1000
39,25,-1000
39,26,-998
37,27,-998
39,25,-997
39,23,-1001
39,25,-1000
40,25,-997
39,26,-996
37,25,-1001
40,27,-1001
40,25,-997
39,26,-998
38,26,-997
39,25,-995
40,25,-994
41,25,-997
40,23,-999
39,24,-1000
41,24,-999
37,26,-995
38,25,-996
40,25,-998
39,25,-998
41,26,-999
40,25,-999
40,24,-1000
39,26,-996
39,23,-1000
40,24,-999
39,25,-999
39,24,-999
39,22,-996
39,25,-997
38,26,-1000
39,26,-1002
39,24,-996
39,25,-998
39,25,-997
39,24,-997
39,27,-995
39,24,-999
38,25,-999
39,23,-1001
40,25,-996
40,23,-999
40,25,-997
40,24,-999
41,25,-999
38,24,-999
39,24,-1000
41,24,-997
40,24,-997
40,25,-999
37,24,-995
40,23,-997
39,25,-1000
40,26,-998
38,23,-999
40,23,-997
39,26,-995
38,26,-1000
40,23,-999
39,24,-998
40,25,-999
39,24,-1001
41,25,-993
37,26,-1001
38,25,-997
40,24,-998
39,25,-997
38,24,-998
40,24,-998
41,26,-1000
39,27,-995
38,25,-999
38,23,-997
39,23,-1001
40,25,-1000
40,24,-1000
38,24,-998
38,27,-998
41,22,-998
39,24,-1000
40,26,-996
41,26,-999
41,25,-1001
40,23,-997
40,23,-998
39,24,-999
40,23,-1000
40,23,-1002
40,24,-994
40,24,-998
41,25,-998
39,25,-995
41,25,-994
37,24,-998
41,26,-995
38,24,-999
40,23,-1002
38,26,-997
39,27,-998
38,24,-1000
40,25,-1000
39,25,-996
38,25,-999
39,24,-1003
40,25,-995
39,24,-999
41,24,-999
39,26,-995
42,27,-997
41,24,-998
38,25,-999
39,26,-996
41,21,-996
40,25,-995
40,24,-1000
39,27,-997
41,23,-1000
40,24,-999
41,24,-997
42,25,-998
40,25,-993
41,26,-999
40,24,-997
38,25,-995
39,25,-997
38,25,-995
40,24,-999
38,24,-1000
39,24,-998
39,25,-999
41,24,-1003
39,25,-998
38,25,-1001
38,25,-999
39,22,-1000
39,25,-1002
40,25,-1000
39,25,-998
41,24,-1000
40,24,-999
41,22,-999
38,26,-999
40,26,-1000
41,27,-996
38,25,-996
39,24,-1000
40,26,-1000
40,26,-1000
38,26,-998
41,26,-997
39,26,-997
40,26,-999
38,23,-996
40,26,-995
40,25,-999
39,24,-995
38,26,-996
40,24,-1000
40,26,-998
40,25,-1001
39,25,-996
40,25,-1000
40,26,-994
40,26,-999
40,25,-996
39,25,-996
40,25,-996
39,25,-996
39,24,-997
38,25,-997
39,24,-999
37,26,-999
38,23,-996
38,25,-1002
39,25,-998
39,25,-995
39,26,-1000
39,24,-995
40,25,-996
41,27,-996
39,25,-996
38,24,-1000
39,25,-996
40,25,-999
39,25,-1000
39,27,-1000
40,26,-998
39,24,-1000
40,23,-998
38,25,-999
37,24,-996
39,24,-1002
37,24,-998
37,25,-996
38,25,-1000
39,24,-995
39,24,-998
39,25,-996
41,25,-997
39,26,-997
40,24,-996
38,25,-1000
40,25,-999
39,24,-999
39,26,-996
39,24,-998
41,23,-995
38,25,-998
38,25,-1001
37,23,-1000
41,23,-999
41,25,-1001
41,24,-997
39,24,-998
42,24,-999
37,23,-997
39,26,-999
38,24,-994
40,25,-997
39,24,-999
39,24,-995
38,23,-997
39,25,-1001
40,25,-994
40,25,-999
37,23,-1000
38,27,-997
40,25,-997
41,26,-1000
38,23,-999
38,25,-999
37,25,-999
39,26,-1000
39,27,-999
40,25,-1000
37,24,-996
39,24,-998
40,23,-997
38,25,-995
39,25,-997
38,24,-998
41,24,-998
38,26,-1000
