Acceleration in X,Acceleration in Y,Acceleration in Z
-7,-986,13
-9,-988,13
-6,-986,13
-5,-987,15
-8,-988,13
-9,-988,12
-9,-990,13
-7,-987,11
-7,-989,12
-8,-988,13
-7,-987,11
-8,-988,10
-6,-988,13
-7,-989,8
-6,-989,10
-10,-989,14
-8,-989,15
-8,-988,14
-7,-988,15
-7,-989,13
-9,-988,13
-9,-990,13
-7,-989,11
-6,-989,14
-5,-988,13
-8,-989,11
-10,-988,11
-6,-989,11
-7,-988,13
-8,-987,12
-7,-986,14
-6,-989,12
-8,-988,15
-7,-987,9
-8,-988,11
-8,-989,15
-8,-988,14
-6,-988,14
-6,-989,12
-8,-989,17
-7,-990,11
-6,-988,6
-8,-987,12
-7,-988,13
-7,-988,13
-8,-988,11
-8,-988,11
-6,-988,14
-7,-989,13
-7,-987,12
-8,-990,10
-8,-989,7
-9,-987,15
-7,-989,14
-8,-987,15
-6,-987,12
-8,-988,11
-6,-988,9
-8,-986,15
-7,-988,14
-6,-989,11
-6,-989,11
-8,-988,13
-8,-990,12
-4,-988,10
-8,-987,15
-7,-988,15
-6,-990,13
-7,-988,13
-8,-989,20
-7,-988,14
-6,-989,12
-8,-989,12
-9,-988,11
-9,-990,13
-7,-989,15
-7,-989,13
-7,-987,12
-6,-988,13
-7,-988,10
-9,-988,13
-8,-988,11
-8,-988,12
-5,-988,9
-7,-988,15
-8,-990,17
-7,-987,10
-8,-988,9
-7,-987,14
-7,-988,12
-4,-986,11
-8,-989,14
-6,-987,13
-8,-989,14
-8,-989,12
-7,-990,14
-7,-988,15
-6,-987,15
-8,-989,11
-6,-990,12
-9,-988,12
-6,-989,10
-9,-987,12
-6,-990,9
-6,-987,11
-8,-988,13
-7,-988,7
-7,-989,12
-8,-989,13
-7,-990,14
-7,-988,13
-9,-988,11
-7,-989,14
-9,-989,12
-7,-990,8
-7,-988,10
-7,-987,14
-7,-989,14
-8,-987,9
-7,-987,12
-7,-988,13
-7,-990,12
-8,-987,9
-7,-988,11
-8,-988,12
-7,-988,16
-7,-988,16
-8,-989,13
-6,-988,12
-7,-989,10
-8,-987,13
-6,-990,8
-8,-986,11
-10,-987,14
-7,-988,13
-5,-987,13
-8,-988,11
-8,-987,13
-6,-990,16
-7,-989,13
-6,-989,12
-8,-990,13
-6,-989,12
-5,-988,11
-7,-989,12
-8,-987,13
-7,-987,12
-6,-987,8
-8,-989,10
-7,-988,11
-8,-987,13
-8,-988,15
-8,-990,13
-7,-989,11
-6,-989,12
-7,-988,11
-8,-989,9
-8,-988,12
-8,-989,12
-9,-987,11
-6,-988,12
-7,-989,16
-8,-989,12
-5,-990,12
-8,-988,9
-6,-988,13
-7,-988,14
-8,-988,14
-7,-989,14
-8,-986,10
-10,-985,12
-7,-990,12
-5,-988,13
-8,-988,8
-6,-988,10
-7,-989,13
-7,-989,13
-7,-987,12
-7,-989,13
-5,-988,15
-6,-988,8
-8,-990,8
-8,-990,12
-6,-987,14
-6,-989,11
-7,-988,11
-8,-987,12
-9,-989,11
-6,-988,10
-8,-988,13
-7,-987,14
-7,-989,12
-8,-989,11
-7,-991,11
-8,-989,12
-8,-989,10
-8,-988,11
-7,-989,12
-8,-987,12
-7,-987,13
-7,-989,14
-8,-989,12
-6,-987,14
-7,-988,13
-7,-989,13
-7,-988,12
-8,-988,12
-8,-988,12
-6,-986,8
-7,-987,14
-7,-989,12
-5,-988,13
-9,-988,15
-7,-987,16
-6,-988,16
-5,-988,10
-8,-986,16
-6,-987,14
-6,-989,12
-6,-987,10
-8,-988,11
-8,-988,14
-8,-986,12
-7,-987,12
-5,-987,13
-8,-989,13
-6,-987,11
-6,-990,11
-9,-989,12
-6,-988,13
-6,-988,12
-8,-987,12
-8,-987,12
-8,-989,10
-8,-989,12
-9,-988,14
-7,-991,12
-7,-988,12
-7,-989,11
-7,-990,14
-8,-989,12
-9,-985,12
-7,-989,13
-6,-987,13
-8,-987,14
-8,-990,12
-7,-988,12
-7,-987,13
-6,-990,10
-7,-990,13
-8,-990,11
-10,-988,12
-8,-988,10
-7,-989,13
-8,-990,15
-8,-987,11
-8,-989,13
-6,-988,11
-6,-988,12
-7,-988,14
-8,-990,14
-7,-989,11
-5,-989,13
-7,-989,13
-6,-988,11
-9,-989,14
-5,-988,13
-5,-989,10
-8,-987,14
-6,-987,13
-7,-989,13
-6,-988,12
-9,-990,12
-7,-989,11
-7,-989,15
-7,-986,10
-8,-988,12
-7,-989,10
-6,-988,12
-8,-985,11
-8,-990,12
-7,-988,12
-7,-988,9
-8,-987,8
-11,-988,13
-8,-986,12
-8,-988,15
-6,-988,11
-9,-986,8
-6,-985,17
-7,-988,14
-6,-989,13
-8,-987,11
-8,-989,11
-9,-987,10
-5,-987,15
-7,-988,8
-6,-988,12
-7,-988,11
-8,-986,8
-7,-986,12
-7,-988,12
-7,-988,13
-6,-991,10
-6,-987,9
-5,-990,12
-7,-989,11
-8,-988,12
-7,-988,13
-7,-987,12
-8,-989,9
-7,-986,12
-7,-989,12
-8,-988,12
-6,-989,12
-7,-987,13
-6,-989,9
-7,-988,11
-8,-989,15
-8,-988,13
-7,-989,9
-8,-987,12
-5,-990,9
-7,-989,10
-4,-988,14
-8,-988,13
-8,-989,12
-7,-989,14
-8,-988,13
-8,-988,14
-7,-989,12
-8,-989,12
-7,-988,14
-7,-987,13
-6,-989,12
-7,-988,15
-8,-990,13
-7,-991,10
-8,-990,14
-4,-987,13
-8,-991,15
-8,-989,9
-10,-991,15
-6,-989,11
-7,-988,15
-6,-986,10
-7,-990,11
-7,-988,12
-6,-986,13
-8,-989,12
-5,-987,11
-9,-989,12
-8,-988,11
-7,-987,14
-7,-986,11
-7,-988,13
-6,-987,14
-7,-988,13
-7,-986,11
-6,-987,13
-8,-987,15
-8,-987,16
-6,-988,13
-8,-988,13
-7,-989,12
-6,-988,14
-7,-988,11
-7,-987,12
-7,-987,14
-8,-989,10
-9,-986,13
-6,-988,16
-7,-987,10
-6,-987,10
-7,-987,13
-8,-988,13
-4,-989,14
-9,-987,11
-9,-988,15
-9,-987,13
-8,-988,10
-7,-986,14
-8,-987,10
-7,-987,11
-7,-989,12
-6,-990,11
-7,-989,15
-6,-990,13
-7,-989,12
-7,-988,16
-8,-987,12
-8,-988,15
-8,-989,11
-6,-986,13
-6,-991,12
-8,-988,14
-7,-987,14
-8,-988,12
-8,-988,10
-7,-989,12
-7,-989,16
-6,-987,10
-8,-988,11
-7,-988,10
-6,-989,8
-8,-986,12
-10,-988,16
-7,-987,10
-6,-989,13
-6,-987,13
-7,-987,12
-7,-987,12
-6,-989,12
-5,-990,12
-6,-987,13
-8,-988,11
-8,-987,12
-7,-989,12
-8,-989,12
-9,-988,10
-8,-988,13
-9,-986,10
-9,-987,14
-7,-988,15
-9,-988,12
-7,-990,12
-8,-988,13
-6,-990,16
-7,-987,10
-8,-988,14
-8,-986,14
-8,-988,11
-10,-988,15
-8,-988,14
-6,-988,12
-7,-990,14
-8,-988,9
-8,-990,13
-7,-992,14
-7,-988,12
-8,-989,19
-6,-989,10
-5,-988,10
-6,-989,14
-7,-988,15
-7,-988,14
-6,-988,14
-6,-987,14
-8,-989,13
-9,-990,13
-7,-988,15
-7,-989,10
-7,-988,14
-8,-988,14
-8,-989,12
-6,-987,12
-6,-990,11
-6,-989,15
-7,-988,13
-8,-989,14
-7,-989,12
-9,-987,10
-8,-989,11
-7,-989,14
-9,-989,13
-7,-988,13
-8,-987,11
-8,-989,12
-7,-990,15
-8,-991,16
-8,-988,12
-6,-989,11
-7,-988,12
-7,-989,10
-8,-986,13
-7,-989,11
-9,-988,13
-9,-989,14
-8,-989,12
-8,-989,14
-7,-988,13
-9,-987,10
-9,-988,14
-8,-988,13
-8,-988,13
-8,-988,13
-9,-987,10
-6,-988,13
-7,-986,11
-8,-988,13
-7,-987,14
-8,-987,13
-7,-988,13
-8,-987,12
-7,-988,14
-7,-989,12
-8,-987,11
-7,-988,16
-8,-990,12
-7,-988,14
