Acceleration in X,Acceleration in Y,Acceleration in Z
-4,9,927
-3,11,929
-3,10,927
-5,9,927
-3,11,928
-3,11,926
-5,11,930
-4,11,924
-5,12,928
-2,11,932
-4,11,929
-5,13,928
-5,12,930
-2,11,929
-3,11,932
-5,11,931
-4,12,927
-3,9,927
-3,9,930
-3,11,927
-2,10,927
-4,11,926
-2,11,926
-3,11,931
-4,11,931
-3,11,926
-2,11,927
-3,9,929
-3,11,927
-4,9,927
-4,9,927
-3,8,924
-4,11,926
-4,9,929
-4,9,928
-4,11,929
-3,10,928
-2,11,928
-3,13,926
-3,11,928
-3,12,927
-3,10,929
-3,12,928
-3,12,931
-3,12,928
-2,12,925
-4,9,928
-6,12,926
-5,12,929
-3,9,931
-3,10,928
-4,11,928
-3,11,927
-2,12,929
-3,12,928
-2,10,927
-3,11,928
-5,9,928
-5,12,929
-4,11,929
-3,9,928
-4,11,925
-4,9,927
-5,10,927
-4,10,928
-4,11,926
-5,9,925
-4,11,926
-3,12,927
-3,11,927
-3,8,926
-4,11,927
-2,11,930
-3,11,926
-3,9,929
-3,11,929
-2,10,924
-3,12,933
-4,10,928
-4,10,926
-3,10,927
-3,12,927
-4,12,929
-3,11,926
-4,11,929
-4,12,929
-2,10,927
-2,11,930
-3,10,929
-5,11,931
-6,11,931
-4,12,927
-3,10,927
-2,11,929
-1,11,925
-3,10,928
-4,11,927
-3,11,926
-3,12,931
-4,10,927
-3,12,928
-1,12,931
-2,10,929
-5,10,926
-5,10,924
-5,13,927
-4,12,928
-4,12,927
-4,12,926
-4,10,925
-4,9,927
-4,10,925
-3,11,924
-4,13,925
-4,9,930
-4,10,927
-2,11,927
-2,10,931
-4,11,930
-4,10,923
-1,11,929
-3,12,926
-2,11,924
-3,13,929
-4,10,927
-2,12,923
-4,9,926
-3,12,929
-1,10,927
-5,12,926
-3,12,927
-2,12,927
-2,11,930
-4,11,927
-4,10,927
-2,10,927
-5,12,927
-3,11,928
-6,9,926
-6,11,929
-6,9,926
-1,10,930
-5,8,923
-4,11,924
-4,10,928
-2,11,926
-4,11,931
-5,9,923
-4,10,927
-1,11,928
-5,10,924
-5,9,932
-4,13,927
-4,11,925
-5,12,929
-6,11,925
-6,12,923
-3,11,929
-3,9,927
-3,9,925
-5,11,925
-3,9,930
-2,11,930
-3,10,924
-4,10,930
-4,11,932
-4,10,930
-3,10,928
-4,9,926
-3,12,924
-5,11,933
-6,11,925
-3,9,930
-5,10,924
-5,11,926
-1,12,930
-3,12,925
-3,10,929
-4,12,925
-1,11,926
-3,11,926
-3,10,926
-3,10,926
-5,11,929
0,10,927
-6,11,930
-4,12,924
-5,10,927
-3,12,928
-3,10,929
-3,10,928
-4,10,930
-2,12,930
-4,11,925
-5,11,928
-3,10,925
-4,11,926
-4,13,926
-6,12,927
-5,10,928
-4,9,925
-3,10,930
-3,11,927
-6,12,929
-5,12,929
-3,12,926
-5,8,931
-4,8,928
-3,11,928
-5,11,928
-4,12,928
-4,10,928
-3,11,926
-4,11,930
-3,8,931
-6,11,926
-3,10,924
-3,13,925
-5,9,925
-3,9,930
-4,10,928
-5,9,930
-4,10,925
-4,10,925
-3,10,928
-4,11,929
-3,8,928
-3,11,929
-5,10,931
-4,12,924
-4,11,925
-4,9,930
-2,9,927
-3,12,929
-4,9,929
-5,12,927
-6,12,925
-4,11,926
-4,13,929
-5,10,926
-4,11,931
-5,10,927
-2,10,926
-4,11,929
-5,10,927
-2,12,929
-6,10,926
-4,10,928
-4,10,926
-4,9,932
-3,10,926
-3,9,928
-4,10,928
-4,10,929
-3,12,930
-4,11,929
-5,11,925
-3,9,930
-3,11,928
-3,11,926
-4,10,927
-3,10,925
-3,11,930
-3,10,928
-4,9,926
-4,8,925
-2,12,938
-4,10,932
-4,9,924
-2,12,935
-5,10,920
-4,11,927
-4,9,928
-6,9,920
-2,12,932
-5,11,920
-7,10,925
-6,12,927
-4,11,924
-5,8,933
-4,11,925
-4,9,923
-1,11,928
-4,8,926
-5,10,930
-3,10,925
-4,11,927
-3,10,931
-4,11,923
-6,9,929
-3,10,928
-4,10,926
-2,11,930
-3,11,926
-3,11,931
-4,10,931
-2,11,923
-3,13,929
-5,12,926
-5,10,928
-2,12,927
-4,10,935
-5,10,930
-6,11,927
-3,11,923
-1,9,933
-5,13,924
-3,12,930
-4,10,931
-2,9,931
-2,10,930
-4,9,923
-4,10,931
-1,12,926
-2,13,927
-3,11,928
-4,10,926
-4,8,927
-3,10,925
-6,9,925
-4,11,929
-2,9,928
-5,10,927
-5,12,930
-5,10,927
-3,11,926
-2,8,924
-3,10,922
-3,12,949
-8,8,910
-1,11,933
0,11,938
-7,10,916
-6,12,937
-4,11,920
-1,10,927
-3,12,934
-8,12,922
-3,12,935
-1,12,927
-1,11,928
-5,13,929
-5,12,927
-2,10,926
-3,11,928
-6,11,928
-5,9,926
-3,11,928
-2,12,928
-3,9,930
-3,10,927
-4,14,929
-2,11,928
-5,10,926
-5,10,926
-3,10,929
-6,10,931
-4,14,929
-5,13,927
-4,12,928
-3,9,926
-3,11,926
-4,10,927
-4,10,932
-3,9,927
-3,10,924
-1,9,933
-5,10,926
-5,11,926
-3,11,930
-3,10,928
-5,12,927
-6,10,925
-3,12,928
-3,11,928
-4,10,927
-5,11,925
-3,12,925
-2,13,927
-5,8,928
-6,12,927
-2,10,930
-3,10,926
-4,11,924
-5,10,925
-4,13,927
-2,12,929
-2,10,927
-5,10,927
-3,11,930
-2,10,926
-2,13,927
-5,13,929
-5,11,926
-6,11,924
-3,13,923
-5,11,927
-7,12,926
-4,9,929
-2,9,927
-3,9,928
-2,12,925
-2,11,928
-3,10,926
-2,11,928
-4,10,926
-3,13,930
-4,9,927
-6,12,928
-2,11,929
-6,11,931
-4,12,929
-5,11,928
-4,10,927
-3,10,928
-5,10,926
-4,9,924
-3,11,929
-5,11,928
-3,11,929
-3,12,928
-3,11,926
-3,11,928
-2,9,927
-6,10,925
-5,13,927
-5,10,929
-4,10,927
-7,11,925
-3,11,926
-4,11,923
-4,12,930
-3,11,928
-3,11,930
-5,12,926
-5,12,927
-4,12,927
-4,11,928
-4,12,927
-6,11,929
-5,12,928
-5,11,927
-2,12,927
-3,13,929
-4,13,930
-3,12,928
-3,13,926
-4,10,928
-3,12,923
-3,12,930
-5,9,926
-4,11,927
-3,11,927
-4,12,927
-2,11,927
-3,11,930
-4,11,926
-3,11,927
-6,11,926
-2,11,928
-3,12,925
-4,10,928
-6,11,926
-2,12,927
-4,14,929
-3,10,925
-6,12,927
-3,10,929
-3,11,927
-3,10,929
0,11,924
-3,12,927
-5,10,925
-5,12,927
-3,12,928
-3,11,928
-5,12,925
-4,12,925
-3,11,928
-2,11,927
-2,11,932
-4,12,928
-3,11,924
-2,10,932
-4,12,928
-3,12,929
-2,12,928
-5,10,927
-3,11,927
-3,11,926
-4,11,928
-6,11,925
-2,10,930
-3,11,929
-3,10,930
-6,9,929
-6,11,928
-2,12,927
-4,10,926
-2,11,926
