Acceleration in X,Acceleration in Y,Acceleration in Z
8,1013,-81
8,1012,-79
6,1014,-83
8,1014,-78
5,1014,-83
6,1013,-77
8,1013,-81
7,1013,-80
9,1014,-83
10,1013,-83
9,1013,-83
7,1011,-81
7,1013,-81
10,1014,-80
9,1013,-83
8,1012,-82
6,1012,-80
8,1014,-80
8,1015,-80
7,1014,-80
8,1012,-83
7,1011,-82
8,1014,-81
6,1011,-80
8,1013,-80
7,1012,-81
9,1015,-81
6,1012,-79
6,1012,-79
6,1012,-79
9,1012,-79
9,1012,-79
7,1014,-82
6,1012,-79
7,1013,-79
8,1012,-84
8,1014,-83
7,1012,-82
8,1014,-81
9,1013,-83
6,1012,-80
6,1012,-83
8,1011,-82
8,1011,-86
9,1011,-83
5,1013,-82
6,1013,-83
7,1012,-84
7,1012,-80
8,1012,-80
8,1013,-83
5,1012,-81
6,1013,-82
8,1012,-82
7,1012,-83
8,1012,-80
7,1012,-78
8,1013,-77
7,1013,-81
8,1013,-80
7,1012,-82
8,1013,-82
6,1013,-78
9,1012,-82
9,1012,-81
9,1013,-82
7,1013,-81
6,1012,-83
8,1014,-83
9,1013,-80
6,1013,-83
5,1011,-83
7,1012,-79
8,1012,-79
8,1013,-80
6,1012,-79
8,1012,-80
8,1012,-78
8,1012,-80
8,1014,-80
9,1014,-83
8,1012,-83
6,1013,-81
6,1012,-84
7,1014,-82
8,1013,-77
7,1013,-84
8,1011,-80
7,1014,-79
9,1011,-83
8,1012,-82
9,1012,-77
9,1011,-79
8,1013,-82
8,1011,-79
8,1013,-83
7,1014,-79
7,1014,-80
7,1012,-81
7,1014,-80
8,1013,-79
8,1012,-84
8,1015,-82
7,1012,-82
8,1012,-79
10,1013,-83
7,1013,-83
7,1012,-82
9,1013,-78
9,1010,-82
6,1013,-81
7,1014,-81
7,1014,-77
5,1012,-80
5,1012,-80
5,1011,-81
8,1012,-81
9,1013,-79
7,1013,-82
8,1013,-83
8,1013,-83
10,1012,-81
7,1011,-81
7,1012,-82
7,1011,-80
7,1013,-81
7,1011,-80
9,1013,-83
9,1015,-83
6,1012,-82
8,1011,-82
6,1014,-80
6,1013,-85
8,1012,-81
8,1012,-79
9,1014,-82
8,1012,-82
8,1013,-80
9,1013,-82
7,1013,-83
8,1014,-82
7,1012,-83
7,1013,-82
7,1013,-85
7,1013,-80
7,1013,-78
8,1014,-81
7,1012,-82
7,1014,-79
8,1014,-81
7,1015,-79
7,1014,-81
7,1014,-82
8,1014,-83
8,1012,-79
8,1013,-82
8,1013,-81
6,1012,-81
6,1013,-82
6,1012,-84
7,1013,-83
8,1012,-79
7,1013,-82
7,1014,-83
7,1011,-83
7,1013,-77
9,1014,-81
9,1013,-79
7,1012,-81
7,1013,-82
8,1011,-81
9,1013,-83
8,1012,-83
8,1013,-82
7,1013,-79
8,1012,-87
7,1012,-80
8,1012,-81
8,1012,-85
9,1013,-80
10,1012,-81
7,1012,-84
6,1013,-82
7,1015,-84
8,1012,-78
8,1011,-76
7,1011,-76
8,1012,-80
7,1012,-81
7,1011,-77
7,1012,-80
7,1012,-84
8,1013,-82
5,1014,-81
7,1012,-80
6,1012,-81
8,1014,-80
7,1013,-80
6,1014,-79
8,1012,-82
6,1011,-82
8,1013,-78
8,1011,-82
10,1013,-82
8,1011,-83
6,1012,-81
8,1011,-81
6,1014,-79
7,1015,-80
7,1013,-82
9,1011,-80
7,1012,-82
8,1011,-81
6,1012,-81
7,1012,-82
7,1012,-84
9,1013,-85
8,1014,-81
9,1015,-83
6,1014,-81
7,1015,-83
7,1012,-83
5,1014,-83
8,1013,-85
8,1013,-79
7,1013,-80
7,1013,-82
7,1012,-79
6,1013,-81
6,1012,-83
7,1013,-82
8,1013,-83
6,1013,-79
7,1011,-83
7,1013,-83
7,1012,-82
8,1012,-82
6,1011,-80
8,1013,-83
9,1012,-83
6,1013,-83
5,1014,-82
8,1012,-81
7,1012,-81
7,1013,-83
9,1012,-83
7,1014,-80
5,1013,-82
8,1011,-83
8,1014,-84
6,1012,-83
7,1013,-81
6,1015,-83
6,1012,-83
7,1012,-82
7,1015,-80
5,1014,-83
8,1011,-85
9,1014,-83
8,1012,-81
8,1011,-81
8,1013,-83
8,1013,-83
6,1011,-83
9,1012,-82
9,1013,-82
7,1012,-79
7,1013,-80
10,1014,-84
7,1013,-79
5,1015,-81
8,1014,-81
6,1015,-81
6,1011,-83
8,1015,-80
6,1013,-83
7,1012,-82
7,1010,-83
8,1012,-80
6,1014,-80
7,1012,-81
7,1011,-84
8,1012,-81
9,1014,-80
8,1013,-80
6,1012,-80
10,1013,-83
7,1012,-83
8,1011,-80
7,1012,-82
9,1012,-82
7,1013,-83
8,1014,-81
6,1014,-80
6,1012,-82
6,1015,-84
9,1011,-84
9,1013,-85
6,1013,-83
7,1012,-84
8,1015,-82
7,1012,-79
7,1012,-83
6,1014,-80
7,1013,-80
6,1013,-83
7,1011,-83
9,1011,-82
7,1012,-83
7,1014,-84
8,1011,-80
6,1012,-83
8,1013,-80
8,1012,-83
7,1012,-82
10,1012,-81
6,1012,-81
6,1012,-80
7,1012,-80
9,1016,-79
8,1013,-82
9,1013,-82
8,1012,-81
8,1012,-82
7,1013,-81
7,1011,-84
8,1013,-82
6,1013,-82
7,1013,-81
7,1012,-83
8,1014,-81
8,1013,-76
6,1012,-82
7,1013,-81
7,1012,-82
7,1013,-83
7,1011,-83
8,1014,-81
9,1012,-80
8,1011,-79
7,1014,-80
10,1012,-83
8,1013,-80
6,1013,-84
8,1013,-81
8,1012,-78
8,1011,-78
8,1012,-81
6,1012,-79
7,1014,-82
5,1012,-82
10,1014,-82
8,1014,-78
8,1012,-78
8,1011,-82
6,1012,-81
9,1012,-81
8,1012,-82
7,1012,-81
6,1014,-80
7,1013,-78
11,1013,-82
8,1013,-80
7,1014,-83
9,1013,-82
8,1011,-81
7,1013,-82
8,1013,-79
8,1011,-79
7,1012,-83
7,1013,-80
7,1012,-84
8,1013,-81
7,1013,-83
6,1012,-83
6,1013,-79
6,1014,-77
6,1012,-79
7,1014,-81
7,1013,-82
9,1012,-83
7,1011,-80
6,1012,-80
8,1013,-83
7,1013,-79
7,1015,-79
7,1014,-81
5,1014,-81
4,1011,-80
8,1011,-81
6,1012,-83
7,1012,-79
6,1013,-82
6,1013,-76
6,1013,-84
9,1013,-83
7,1014,-84
7,1011,-81
8,1013,-82
8,1013,-81
7,1012,-80
7,1014,-80
6,1015,-79
9,1013,-81
10,1012,-81
6,1012,-82
8,1013,-80
8,1012,-79
9,1012,-84
9,1011,-81
7,1013,-81
7,1011,-80
6,1012,-82
6,1013,-80
6,1013,-79
7,1013,-80
9,1012,-83
6,1011,-83
6,1012,-80
7,1013,-84
7,1014,-81
8,1014,-79
8,1013,-81
7,1015,-79
6,1014,-80
7,1011,-80
7,1015,-78
4,1013,-83
6,1014,-82
7,1012,-80
8,1011,-82
8,1014,-81
7,1014,-80
6,1012,-81
6,1012,-83
6,1012,-80
8,1013,-83
10,1012,-84
8,1013,-80
8,1014,-81
7,1012,-77
6,1013,-83
6,1013,-83
6,1012,-84
8,1013,-83
6,1013,-82
7,1012,-82
8,1013,-83
8,1013,-78
5,1014,-84
6,1013,-81
8,1012,-82
6,1013,-81
9,1013,-83
8,1011,-82
6,1014,-81
8,1010,-82
7,1013,-77
8,1014,-81
6,1011,-81
7,1012,-83
7,1013,-81
8,1013,-81
7,1014,-83
7,1014,-81
7,1013,-82
7,1011,-79
6,1012,-82
5,1012,-80
6,1013,-81
9,1013,-83
8,1013,-81
8,1011,-82
9,1011,-83
7,1013,-80
7,1014,-79
7,1014,-83
9,1011,-82
7,1013,-82
6,1012,-82
9,1012,-79
5,1012,-82
7,1015,-82
9,1013,-80
7,1012,-79
9,1014,-84
8,1012,-82
8,1013,-78
9,1012,-80
7,1013,-81
8,1014,-80
5,1012,-83
7,1013,-81
7,1012,-79
9,1012,-80
7,1011,-82
6,1011,-81
7,1013,-78
9,1012,-81
7,1012,-82
