Acceleration in X,Acceleration in Y,Acceleration in Z
-1014,18,-83
-1010,20,-86
-1013,18,-88
-1013,18,-89
-1011,20,-87
-1010,20,-87
-1011,18,-87
-1012,20,-85
-1013,20,-86
-1013,19,-87
-1013,19,-86
-1013,19,-83
-1013,17,-87
-1012,17,-90
-1012,18,-87
-1010,19,-86
-1013,18,-86
-1013,21,-85
-1013,19,-88
-1011,19,-88
-1012,20,-86
-1011,19,-85
-1013,17,-88
-1012,19,-88
-1013,19,-85
-1012,18,-86
-1015,21,-87
-1012,18,-89
-1013,19,-83
-1013,17,-85
-1012,19,-85
-1013,19,-84
-1011,19,-85
-1010,19,-82
-1014,19,-84
-1012,19,-86
-1012,18,-88
-1014,19,-84
-1013,19,-86
-1014,19,-83
-1012,18,-87
-1012,20,-85
-1012,18,-83
-1012,20,-84
-1012,19,-87
-1011,20,-88
-1013,20,-90
-1011,19,-89
-1013,19,-85
-1012,17,-87
-1013,18,-88
-1013,19,-90
-1013,19,-88
-1012,20,-85
-1012,19,-85
-1010,20,-85
-1013,20,-88
-1013,17,-84
-1012,20,-83
-1011,17,-86
-1011,20,-87
-1012,17,-87
-1012,20,-87
-1012,20,-85
-1013,19,-85
-1012,19,-86
-1013,19,-88
-1012,20,-85
-1013,17,-85
-1014,20,-86
-1012,20,-90
-1013,19,-84
-1011,17,-84
-1015,18,-86
-1012,20,-84
-1012,19,-90
-1013,17,-86
-1011,16,-85
-1015,18,-83
-1012,20,-82
-1012,16,-87
-1015,20,-87
-1014,18,-84
-1012,19,-85
-1013,20,-85
-1010,20,-85
-1012,18,-86
-1012,20,-85
-1011,20,-88
-1013,19,-85
-1011,18,-86
-1013,18,-85
-1012,19,-86
-1012,18,-86
-1015,17,-85
-1012,16,-87
-1013,20,-89
-1013,19,-83
-1013,20,-83
-1014,18,-87
-1012,18,-88
-1013,20,-88
-1012,18,-87
-1012,20,-87
-1014,17,-86
-1013,17,-87
-1013,19,-90
-1013,18,-87
-1012,18,-87
-1014,19,-89
-1013,19,-87
-1011,16,-86
-1013,20,-88
-1013,19,-90
-1012,19,-85
-1012,20,-90
-1012,19,-88
-1012,20,-87
-1013,20,-84
-1013,18,-87
-1011,19,-88
-1010,19,-89
-1011,20,-86
-1012,19,-87
-1014,19,-83
-1011,19,-91
-1013,19,-89
-1010,17,-88
-1013,18,-88
-1011,19,-88
-1013,20,-84
-1013,19,-87
-1012,18,-87
-1014,17,-86
-1011,20,-86
-1011,18,-83
-1013,18,-91
-1013,18,-87
-1012,16,-88
-1014,18,-89
-1011,20,-87
-1012,21,-86
-1013,18,-86
-1013,18,-87
-1013,18,-87
-1013,18,-86
-1012,19,-90
-1011,19,-87
-1012,20,-88
-1011,18,-86
-1011,19,-86
-1014,19,-87
-1013,17,-83
-1013,19,-85
-1011,19,-87
-1014,18,-88
-1012,18,-87
-1012,17,-87
-1012,19,-88
-1012,20,-86
-1011,18,-85
-1012,19,-85
-1012,19,-86
-1011,19,-89
-1011,18,-84
-1011,20,-88
-1015,18,-86
-1013,20,-90
-1011,18,-87
-1012,19,-89
-1013,17,-84
-1011,18,-83
-1012,16,-87
-1014,18,-86
-1013,18,-87
-1013,18,-88
-1013,17,-89
-1012,20,-84
-1012,19,-88
-1012,17,-87
-1013,20,-86
-1013,18,-87
-1012,19,-84
-1014,20,-85
-1013,18,-87
-1013,18,-87
-1012,19,-85
-1015,20,-88
-1009,20,-86
-1013,17,-88
-1015,17,-89
-1012,18,-86
-1013,18,-86
-1015,18,-87
-1012,20,-84
-1012,20,-84
-1012,19,-86
-1013,20,-86
-1012,20,-88
-1013,18,-85
-1012,18,-87
-1011,18,-87
-1012,20,-86
-1014,20,-87
-1014,19,-86
-1012,18,-88
-1015,19,-87
-1011,20,-88
-1013,20,-88
-1013,20,-87
-1012,18,-90
-1012,19,-83
-1011,17,-87
-1014,16,-85
-1013,20,-89
-1013,20,-87
-1016,20,-84
-1010,17,-83
-1010,19,-86
-1013,18,-86
-1012,17,-87
-1012,19,-84
-1011,19,-85
-1011,19,-88
-1013,19,-89
-1013,17,-89
-1013,18,-87
-1011,18,-86
-1012,19,-87
-1011,18,-86
-1013,19,-86
-1013,18,-88
-1012,16,-83
-1012,19,-85
-1012,20,-86
-1013,18,-86
-1012,18,-86
-1012,19,-84
-1012,18,-88
-1015,18,-88
-1013,20,-85
-1012,19,-87
-1013,19,-85
-1014,20,-86
-1014,19,-84
-1013,18,-84
-1011,19,-88
-1012,19,-84
-1014,18,-88
-1013,19,-85
-1012,20,-89
-1013,20,-90
-1014,18,-85
-1013,18,-86
-1012,19,-83
-1015,18,-86
-1014,18,-83
-1012,19,-86
-1012,19,-85
-1009,20,-87
-1011,18,-87
-1013,20,-86
-1011,21,-87
-1013,19,-87
-1012,17,-86
-1012,18,-88
-1012,18,-87
-1012,20,-86
-1012,20,-89
-1012,19,-87
-1014,18,-86
-1013,19,-88
-1011,17,-88
-1012,20,-87
-1012,18,-83
-1014,18,-84
-1012,20,-85
-1012,17,-86
-1011,19,-84
-1012,18,-90
-1012,19,-88
-1011,20,-89
-1011,19,-86
-1015,18,-88
-1014,20,-86
-1011,19,-85
-1013,19,-87
-1014,17,-85
-1013,19,-88
-1013,18,-88
-1010,20,-84
-1013,18,-86
-1011,18,-85
-1013,19,-85
-1012,17,-88
-1012,19,-86
-1012,18,-87
-1012,17,-87
-1011,20,-89
-1012,17,-86
-1012,18,-85
-1012,20,-86
-1014,18,-90
-1013,18,-85
-1014,19,-87
-1013,20,-84
-1011,19,-85
-1012,18,-86
-1011,19,-84
-1013,20,-86
-1011,17,-87
-1012,18,-83
-1013,20,-86
-1012,20,-86
-1013,19,-85
-1013,19,-88
-1011,17,-91
-1012,19,-90
-1012,19,-87
-1013,18,-84
-1012,20,-87
-1015,19,-86
-1013,19,-88
-1011,18,-89
-1011,17,-89
-1014,19,-89
-1010,18,-89
-1014,19,-88
-1015,20,-84
-1012,17,-83
-1012,18,-88
-1013,18,-88
-1010,18,-89
-1014,19,-88
-1013,18,-88
-1011,19,-86
-1012,17,-86
-1014,19,-88
-1013,20,-85
-1011,18,-85
-1012,19,-85
-1012,19,-86
-1014,17,-87
-1012,18,-85
-1012,18,-90
-1014,18,-86
-1014,19,-86
-1012,19,-87
-1011,20,-89
-1012,18,-87
-1012,18,-87
-1011,18,-86
-1012,17,-88
-1012,18,-89
-1012,18,-85
-1012,17,-89
-1013,19,-88
-1013,19,-88
-1012,19,-86
-1012,18,-87
-1011,20,-87
-1011,18,-89
-1013,20,-86
-1013,17,-86
-1012,18,-87
-1011,20,-88
-1013,19,-85
-1010,20,-86
-1011,19,-84
-1013,20,-88
-1010,17,-88
-1012,18,-87
-1012,19,-83
-1011,18,-89
-1012,19,-83
-1011,18,-86
-1014,18,-87
-1012,18,-86
-1011,18,-85
-1010,18,-85
-1012,18,-87
-1012,18,-85
-1014,18,-86
-1011,18,-86
-1012,20,-84
-1013,18,-89
-1012,18,-87
-1011,18,-88
-1013,18,-84
-1011,20,-87
-1012,20,-84
-1011,19,-83
-1013,20,-89
-1012,19,-84
-1011,18,-84
-1012,17,-87
-1013,21,-88
-1013,17,-88
-1010,17,-87
-1012,18,-89
-1013,15,-87
-1012,19,-89
-1011,20,-84
-1011,19,-89
-1013,18,-84
-1011,20,-85
-1011,19,-87
-1011,18,-89
-1013,19,-87
-1012,20,-84
-1011,18,-85
-1012,18,-91
-1014,19,-86
-1011,20,-86
-1013,19,-85
-1015,20,-86
-1013,20,-86
-1012,18,-86
-1010,19,-83
-1014,18,-88
-1013,21,-86
-1013,19,-87
-1012,17,-89
-1012,18,-89
-1012,20,-90
-1013,18,-86
-1012,20,-85
-1012,20,-85
-1012,19,-87
-1011,20,-88
-1014,18,-88
-1015,19,-87
-1012,18,-89
-1012,21,-85
-1011,19,-85
-1011,19,-87
-1011,19,-87
-1013,18,-84
-1013,18,-86
-1014,20,-88
-1013,18,-88
-1013,20,-87
-1013,17,-86
-1012,20,-87
-1013,18,-88
-1012,18,-86
-1011,17,-89
-1013,19,-85
-1012,18,-88
-1012,17,-89
-1012,19,-84
-1013,20,-83
-1012,20,-90
-1012,16,-86
-1013,18,-88
-1013,19,-86
-1013,20,-86
-1012,20,-85
-1013,19,-88
-1011,17,-84
-1013,20,-85
-1011,18,-84
-1012,18,-86
-1012,18,-84
-1012,17,-85
-1014,19,-85
-1011,17,-89
-1015,18,-85
-1013,19,-85
-1011,19,-86
-1014,20,-87
-1013,18,-85
-1014,17,-88
-1013,18,-86
-1012,22,-88
-1014,19,-87
-1010,19,-88
-1013,18,-86
-1012,20,-89
-1011,19,-88
-1011,18,-87
-1013,17,-84
-1012,19,-86
-1012,19,-84
-1013,19,-88
-1011,19,-87
-1013,19,-85
-1012,20,-87
-1011,19,-89
-1010,16,-86
-1011,19,-84
-1010,18,-83
-1011,19,-87
-1013,19,-88
-1011,19,-86
-1014,18,-86
-1011,19,-85
-1012,20,-88
-1014,20,-92
-1011,18,-89
