Acceleration in X,Acceleration in Y,Acceleration in Z
-7,9,-1102
-7,6,-1100
-5,6,-1099
-7,7,-1098
-7,6,-1099
-7,6,-1102
-7,6,-1095
-7,7,-1101
-7,7,-1098
-7,4,-1101
-8,7,-1099
-8,5,-1100
-7,4,-1102
-7,6,-1101
-7,5,-1100
-6,5,-1102
-5,7,-1102
-8,7,-1100
-8,5,-1100
-8,6,-1102
-7,5,-1100
-8,6,-1100
-5,6,-1102
-6,6,-1099
-6,7,-1101
-7,6,-1102
-8,6,-1100
-7,5,-1099
-8,4,-1101
-8,6,-1102
-8,7,-1103
-7,6,-1103
-7,6,-1104
-6,5,-1099
-7,8,-1097
-9,7,-1102
-9,4,-1101
-7,4,-1098
-7,5,-1102
-8,4,-1103
-7,8,-1099
-9,8,-1101
-9,9,-1099
-5,5,-1102
-10,6,-1102
-7,6,-1098
-6,7,-1100
-9,5,-1103
-7,5,-1099
-6,6,-1098
-7,6,-1103
-6,6,-1102
-6,6,-1102
-7,7,-1100
-8,7,-1100
-8,5,-1099
-9,5,-1100
-6,4,-1103
-7,8,-1102
-5,5,-1101
-5,5,-1099
-6,6,-1101
-8,7,-1103
-7,3,-1101
-7,4,-1102
-6,4,-1102
-9,5,-1100
-8,6,-1098
-7,4,-1101
-8,6,-1101
-8,5,-1099
-8,6,-1100
-8,7,-1099
-7,8,-1099
-7,6,-1105
-6,9,-1101
-7,8,-1101
-8,6,-1099
-7,5,-1098
-10,7,-1102
-7,5,-1101
-5,8,-1098
-7,6,-1101
-7,8,-1097
-8,6,-1099
-7,8,-1100
-7,6,-1104
-7,6,-1098
-8,8,-1100
-9,7,-1099
-6,6,-1103
-7,6,-1099
-6,5,-1100
-8,6,-1099
-6,7,-1101
-7,7,-1102
-9,7,-1102
-8,5,-1101
-7,7,-1102
-7,8,-1105
-9,6,-1096
-7,5,-1102
-8,7,-1097
-7,6,-1102
-8,6,-1100
-6,7,-1100
-7,6,-1100
-7,8,-1099
-7,7,-1099
-6,8,-1100
-9,6,-1099
-8,8,-1099
-8,8,-1101
-8,5,-1100
-8,6,-1099
-7,9,-1099
-5,8,-1099
-6,7,-1101
-6,5,-1098
-9,7,-1102
-7,5,-1102
-8,7,-1103
-6,7,-1099
-8,6,-1099
-8,7,-1098
-7,7,-1103
-8,8,-1100
-7,7,-1100
-5,5,-1101
-5,8,-1104
-6,6,-1099
-5,5,-1101
-7,4,-1100
-8,5,-1100
-9,4,-1101
-8,5,-1100
-7,7,-1100
-6,7,-1104
-4,7,-1101
-7,5,-1099
-7,6,-1102
-9,8,-1102
-7,7,-1103
-8,7,-1101
-8,8,-1100
-6,7,-1102
-8,7,-1098
-6,6,-1102
-7,5,-1101
-8,7,-1099
-5,6,-1102
-7,6,-1102
-8,3,-1099
-8,6,-1099
-6,4,-1100
-10,6,-1100
-9,8,-1101
-7,6,-1100
-6,7,-1103
-7,5,-1103
-6,7,-1101
-4,8,-1101
-7,8,-1100
-7,3,-1102
-8,9,-1098
-8,7,-1102
-5,6,-1101
-8,7,-1103
-8,5,-1101
-8,6,-1101
-7,5,-1103
-6,6,-1103
-8,6,-1102
-8,7,-1104
-7,5,-1102
-7,8,-1100
-7,5,-1102
-8,6,-1098
-7,4,-1101
-10,7,-1104
-7,4,-1100
-8,5,-1102
-8,5,-1099
-8,6,-1095
-10,5,-1097
-6,7,-1102
-6,7,-1098
-8,5,-1101
-9,6,-1102
-6,5,-1101
-8,6,-1104
-8,6,-1101
-7,6,-1104
-7,6,-1101
-7,5,-1101
-8,5,-1100
-8,7,-1099
-8,7,-1097
-7,7,-1099
-7,6,-1101
-8,5,-1099
-6,6,-1096
-8,7,-1100
-5,5,-1105
-7,5,-1104
-7,6,-1098
-7,6,-1097
-8,5,-1104
-7,4,-1100
-8,5,-1099
-8,6,-1102
-8,7,-1101
-8,6,-1101
-6,6,-1098
-7,8,-1100
-7,9,-1098
-8,6,-1102
-6,7,-1101
-7,6,-1097
-7,5,-1101
-6,7,-1098
-6,6,-1098
-7,7,-1101
-8,7,-1100
-8,6,-1098
-5,6,-1098
-8,2,-1102
-7,5,-1098
-7,7,-1103
-10,7,-1101
-8,7,-1102
-7,7,-1100
-7,6,-1098
-8,6,-1099
-6,6,-1099
-7,6,-1096
-5,5,-1099
-5,4,-1101
-5,6,-1103
-7,4,-1103
-7,7,-1099
-7,7,-1101
-7,6,-1100
-8,7,-1099
-8,4,-1101
-9,6,-1102
-9,6,-1098
-7,5,-1100
-7,6,-1102
-8,5,-1103
-8,6,-1099
-7,6,-1099
-5,6,-1099
-7,6,-1103
-6,5,-1104
-4,6,-1101
-6,6,-1099
-7,5,-1100
-9,5,-1098
