acceleration_in_x,acceleration_in_y,acceleration_in_z
8.3,-1013.7,-43.5
10.7,-1013.2,-42.5
7.8,-1015.6,-43.9
6.8,-1014.5999999999999,-43.9
7.3,-1013.2,-41.0
7.8,-1011.7,-43.9
8.8,-1011.7,-43.0
6.8,-1012.6999999999999,-41.5
9.799999999999999,-1015.0999999999999,-43.9
8.3,-1014.2,-42.5
8.3,-1014.5999999999999,-43.0
7.8,-1013.7,-42.0
8.3,-1013.7,-42.5
9.799999999999999,-1015.0999999999999,-41.5
8.3,-1013.2,-43.5
7.8,-1013.7,-43.5
7.8,-1014.5999999999999,-45.400000000000006
9.299999999999999,-1015.0999999999999,-42.0
9.299999999999999,-1015.6,-41.5
8.8,-1015.0999999999999,-43.9
9.799999999999999,-1013.2,-47.9
8.3,-1013.2,-43.5
8.3,-1015.0999999999999,-46.4
9.299999999999999,-1014.2,-45.400000000000006
5.8999999999999995,-1013.2,-41.0
5.4,-1015.0999999999999,-43.9
6.3,-1013.7,-43.0
7.8,-1015.0999999999999,-43.5
7.8,-1015.6,-43.5
7.8,-1015.0999999999999,-44.900000000000006
6.3,-1014.5999999999999,-45.400000000000006
8.3,-1016.1,-43.0
7.8,-1015.6,-42.5
8.8,-1012.6999999999999,-43.0
7.8,-1013.2,-42.0
7.3,-1012.6999999999999,-41.0
7.8,-1013.2,-42.0
8.8,-1014.2,-44.4
8.8,-1017.0999999999999,-43.9
8.8,-1015.0999999999999,-41.5
7.8,-1014.5999999999999,-41.0
7.8,-1015.6,-42.5
9.299999999999999,-1014.2,-43.0
9.299999999999999,-1014.2,-43.0
8.8,-1015.0999999999999,-44.900000000000006
9.799999999999999,-1014.2,-45.900000000000006
7.3,-1016.1,-44.900000000000006
7.3,-1014.5999999999999,-42.5
6.3,-1014.5999999999999,-40.0
8.3,-1014.2,-43.9
7.8,-1014.5999999999999,-42.5
8.3,-1014.2,-44.4
6.8,-1016.5999999999999,-45.900000000000006
9.299999999999999,-1015.0999999999999,-47.4
5.4,-1015.0999999999999,-42.5
7.8,-1015.6,-41.5
7.8,-1016.5999999999999,-43.9
8.3,-1015.6,-43.9
8.8,-1015.0999999999999,-43.0
9.299999999999999,-1015.0999999999999,-44.900000000000006
8.3,-1014.5999999999999,-42.5
7.3,-1015.6,-41.0
6.8,-1015.6,-43.5
9.299999999999999,-1016.1,-43.9
8.8,-1014.2,-44.4
7.3,-1014.5999999999999,-43.5
8.3,-1014.2,-44.4
8.3,-1016.1,-40.5
7.3,-1016.5999999999999,-41.5
7.8,-1014.2,-43.5
8.3,-1015.0999999999999,-43.9
7.3,-1014.2,-43.0
7.3,-1013.2,-41.0
7.8,-1014.2,-43.5
7.8,-1016.1,-39.6
8.3,-1014.5999999999999,-42.0
7.8,-1014.2,-41.5
7.8,-1014.5999999999999,-44.900000000000006
7.8,-1014.5999999999999,-43.0
6.8,-1014.2,-42.5
8.3,-1014.2,-43.9
7.8,-1013.7,-42.5
8.8,-1013.7,-45.400000000000006
9.299999999999999,-1014.2,-43.0
9.299999999999999,-1013.2,-44.4
7.8,-1014.5999999999999,-42.5
8.8,-1012.6999999999999,-41.5
8.8,-1014.5999999999999,-44.900000000000006
7.8,-1016.1,-42.5
5.8999999999999995,-1014.5999999999999,-44.4
7.3,-1016.5999999999999,-45.900000000000006
6.8,-1016.1,-43.9
8.3,-1014.5999999999999,-43.9
8.8,-1014.5999999999999,-41.5
7.3,-1016.5999999999999,-41.0
7.8,-1017.6,-40.0
7.3,-1015.6,-42.0
8.3,-1016.5999999999999,-43.5
7.3,-1015.6,-44.4
8.3,-1013.2,-44.900000000000006
8.8,-1013.7,-40.0
10.7,-1015.0999999999999,-42.5
8.8,-1015.0999999999999,-43.0
9.299999999999999,-1013.7,-42.5
7.3,-1014.2,-41.5
9.299999999999999,-1013.2,-44.900000000000006
6.8,-1014.5999999999999,-42.0
7.8,-1015.0999999999999,-41.0
6.8,-1016.1,-40.5
8.3,-1016.5999999999999,-43.0
6.8,-1016.1,-42.5
7.3,-1014.5999999999999,-42.5
5.8999999999999995,-1014.5999999999999,-42.5
7.8,-1016.1,-40.5
8.8,-1013.2,-43.0
9.299999999999999,-1014.2,-40.5
8.3,-1015.6,-40.5
7.8,-1014.5999999999999,-43.0
7.8,-1016.1,-45.400000000000006
7.3,-1014.5999999999999,-43.9
8.8,-1014.2,-40.5
8.3,-1015.6,-44.4
8.3,-1015.6,-43.9
7.8,-1015.0999999999999,-42.0
7.3,-1013.7,-44.4
