acceleration_in_x,acceleration_in_y,acceleration_in_z
3,-12,-1030
5,-12,-1030
4,-12,-1029
6,-11,-1040
2,-12,-1031
3,-13,-1027
4,-12,-1028
4,-10,-1032
4,-13,-1027
5,-12,-1029
2,-12,-1030
2,-10,-1027
5,-11,-1033
4,-14,-1029
4,-13,-1030
4,-13,-1033
5,-13,-1029
2,-13,-1025
3,-14,-1033
4,-12,-1032
4,-13,-1031
2,-12,-1028
2,-14,-1029
4,-13,-1031
4,-13,-1032
5,-11,-1028
6,-13,-1036
4,-13,-1033
4,-12,-1029
5,-11,-1026
5,-15,-1028
5,-14,-1030
3,-12,-1033
4,-13,-1027
2,-12,-1031
4,-12,-1030
2,-13,-1029
1,-12,-1029
4,-13,-1030
2,-11,-1028
2,-12,-1021
3,-12,-1030
3,-14,-1025
4,-15,-1031
3,-11,-1031
2,-10,-1030
3,-13,-1029
4,-12,-1028
1,-12,-1031
5,-12,-1035
4,-12,-1030
3,-14,-1030
4,-12,-1030
4,-11,-1030
1,-11,-1028
5,-8,-1043
0,-14,-1023
1,-12,-1025
5,-17,-1031
4,-12,-1034
3,-12,-1028
5,-11,-1029
2,-12,-1028
3,-11,-1028
6,-10,-1026
3,-13,-1028
2,-16,-1028
2,-14,-1022
5,-11,-1033
4,-12,-1027
1,-13,-1026
3,-12,-1030
5,-10,-1030
3,-10,-1030
4,-12,-1031
3,-12,-1033
4,-12,-1030
4,-11,-1027
5,-14,-1025
4,-10,-1030
1,-13,-1028
4,-12,-1024
3,-11,-1026
3,-12,-1027
3,-12,-1026
1,-13,-1023
5,-13,-1033
2,-12,-1026
4,-10,-1028
3,-10,-1024
3,-10,-1026
4,-11,-1035
6,-11,-1033
3,-11,-1029
4,-11,-1027
0,-12,-1027
2,-15,-1028
4,-13,-1028
5,-11,-1029
4,-12,-1032
3,-11,-1029
4,-11,-1029
2,-12,-1027
11,-12,-1040
4,-11,-1033
4,-14,-1025
3,-12,-1025
4,-12,-1029
2,-8,-1030
4,-12,-1030
3,-12,-1026
5,-13,-1030
4,-12,-1032
3,-12,-1028
4,-12,-1029
2,-13,-1029
2,-11,-1029
3,-12,-1029
3,-11,-1027
2,-13,-1028
2,-13,-1028
5,-13,-1032
0,-15,-1021
4,-11,-1029
3,-11,-1028
4,-12,-1031
4,-13,-1027
3,-11,-1028
2,-12,-1031
2,-12,-1028
2,-15,-1027
1,-13,-1027
4,-13,-1027
4,-11,-1027
3,-11,-1027
1,-13,-1031
4,-12,-1026
6,-11,-1028
3,-13,-1027
2,-14,-1029
3,-10,-1026
3,-11,-1029
6,-11,-1028
3,-12,-1030
4,-12,-1028
2,-13,-1030
4,-11,-1028
3,-12,-1031
1,-12,-1029
5,-11,-1026
3,-13,-1032
4,-12,-1032
5,-13,-1032
3,-11,-1026
3,-11,-1027
3,-12,-1028
4,-12,-1027
5,-11,-1043
2,-14,-1025
2,-13,-1024
8,-11,-1028
3,-14,-1028
2,-11,-1027
4,-11,-1032
3,-12,-1028
3,-13,-1027
2,-12,-1016
4,-14,-1036
4,-12,-1032
6,-12,-1027
8,-14,-1030
3,-12,-1029
5,-12,-1028
4,-12,-1027
3,-12,-1028
5,-12,-1028
4,-13,-1031
3,-13,-1024
4,-10,-1030
1,-14,-1030
1,-12,-1024
3,-10,-1027
4,-10,-1027
3,-11,-1029
5,-13,-1030
1,-13,-1023
3,-13,-1030
3,-13,-1028
4,-12,-1030
1,-10,-1030
3,-9,-1027
7,-11,-1031
1,-11,-1030
2,-13,-1027
3,-12,-1032
3,-10,-1039
2,-12,-1028
5,-10,-1032
0,-14,-1026
2,-12,-1029
2,-14,-1025
3,-11,-1038
2,-13,-1027
6,-12,-1028
4,-9,-1028
1,-10,-1030
3,-11,-1029
5,-15,-1036
3,-9,-1029
3,-11,-1023
3,-12,-1030
4,-14,-1034
5,-11,-1027
3,-12,-1027
3,-12,-1031
6,-13,-1029
3,-13,-1028
3,-11,-1033
3,-12,-1031
4,-13,-1027
2,-12,-1031
3,-12,-1028
4,-13,-1027
5,-14,-1031
2,-14,-1035
2,-11,-1026
4,-13,-1028
5,-13,-1030
3,-12,-1029
6,-10,-1030
3,-13,-1027
4,-14,-1025
4,-14,-1024
3,-12,-1030
7,-12,-1027
3,-12,-1031
3,-14,-1030
3,-13,-1030
5,-11,-1031
2,-13,-1027
5,-12,-1030
4,-14,-1032
3,-12,-1029
4,-11,-1028
4,-12,-1031
3,-14,-1028
4,-11,-1029
2,-11,-1030
4,-12,-1030
3,-10,-1029
2,-13,-1030
4,-10,-1029
5,-13,-1026
3,-10,-1030
4,-11,-1029
5,-14,-1029
4,-12,-1030
3,-11,-1030
3,-14,-1029
4,-11,-1030
4,-14,-1030
4,-13,-1030
6,-11,-1026
2,-14,-1031
3,-13,-1029
5,-13,-1027
3,-12,-1031
4,-12,-1031
3,-12,-1028
4,-12,-1027
2,-13,-1027
3,-12,-1027
3,-10,-1028
5,-12,-1028
3,-12,-1031
4,-13,-1030
6,-12,-1031
4,-13,-1030
4,-11,-1031
3,-13,-1027
5,-11,-1029
5,-12,-1028
3,-11,-1030
2,-12,-1029
4,-13,-1025
6,-13,-1028
5,-11,-1034
4,-12,-1029
4,-12,-1030
3,-10,-1031
2,-12,-1028
0,-12,-1029
3,-11,-1030
3,-12,-1031
5,-13,-1031
3,-13,-1029
5,-10,-1030
5,-13,-1030
4,-12,-1024
2,-14,-1028
4,-13,-1028
4,-13,-1029
2,-12,-1020
5,-13,-1024
5,-11,-1033
3,-12,-1028
4,-10,-1034
3,-11,-1028
2,-14,-1030
4,-15,-1028
4,-11,-1030
4,-13,-1028
4,-12,-1027
4,-10,-1026
2,-13,-1020
2,-14,-1020
3,-10,-1034
5,-13,-1028
3,-13,-1029
1,-13,-1031
4,-10,-1024
2,-10,-1026
4,-14,-1032
4,-12,-1027
6,-15,-1030
1,-15,-1032
3,-12,-1035
4,-10,-1029
1,-10,-1026
4,-14,-1029
5,-11,-1027
4,-12,-1029
4,-10,-1030
2,-12,-1031
1,-13,-1029
3,-13,-1033
4,-13,-1030
4,-13,-1028
4,-12,-1027
5,-11,-1027
2,-13,-1030
3,-12,-1028
2,-14,-1030
3,-11,-1028
3,-13,-1029
3,-12,-1028
6,-11,-1029
4,-12,-1029
2,-13,-1028
5,-13,-1028
2,-12,-1034
2,-14,-1029
2,-14,-1024
4,-13,-1033
4,-11,-1030
3,-11,-1033
4,-12,-1028
5,-11,-1029
5,-11,-1024
2,-11,-1030
4,-14,-1029
4,-13,-1029
3,-14,-1028
3,-12,-1025
4,-12,-1031
3,-13,-1027
2,-14,-1028
3,-14,-1027
4,-13,-1032
1,-11,-1028
2,-12,-1031
4,-13,-1027
