acceleration_in_x,acceleration_in_y,acceleration_in_z
-17.6,989.3,-35.6
-16.6,990.7,-34.2
-18.1,991.1999999999999,-34.2
-17.6,992.7,-38.1
-19.0,991.7,-34.7
-19.0,990.7,-38.6
-18.1,991.1999999999999,-38.6
-18.1,991.7,-40.0
-19.5,992.7,-37.1
-17.1,990.7,-40.5
-16.1,991.1999999999999,-35.6
-16.6,991.1999999999999,-37.1
-17.6,991.7,-36.6
-16.6,992.1999999999999,-38.6
-18.599999999999998,990.7,-37.1
-17.1,992.1999999999999,-38.1
-16.6,994.1,-35.6
-17.6,992.7,-36.1
-19.5,992.1999999999999,-35.6
-18.599999999999998,992.1999999999999,-38.1
-17.6,991.7,-32.7
-15.6,992.7,-34.7
-17.1,990.1999999999999,-32.2
-18.599999999999998,990.1999999999999,-32.7
-19.5,993.1999999999999,-32.2
-18.1,992.1999999999999,-36.6
-17.6,992.7,-37.1
-18.1,991.1999999999999,-35.6
-16.6,991.7,-34.7
-17.1,991.7,-36.1
-16.6,991.1999999999999,-34.2
-17.6,991.1999999999999,-32.7
-18.599999999999998,991.7,-33.2
-19.0,992.1999999999999,-36.1
-18.1,991.1999999999999,-35.6
-18.1,992.7,-35.6
-18.599999999999998,992.7,-37.1
-18.599999999999998,991.7,-35.6
-18.1,990.7,-31.7
-18.1,990.7,-35.6
-20.5,992.1999999999999,-36.6
-20.5,993.7,-37.1
-18.599999999999998,991.7,-35.2
-18.599999999999998,993.7,-37.1
-19.5,993.7,-33.7
-17.1,992.7,-35.2
-18.1,990.7,-35.2
-18.599999999999998,992.1999999999999,-38.6
-18.1,992.7,-37.6
-18.1,992.1999999999999,-35.6
-16.6,992.1999999999999,-36.6
-16.6,990.7,-30.8
-18.599999999999998,989.7,-31.2
-17.1,990.7,-35.2
-18.599999999999998,991.7,-40.0
-17.6,991.1999999999999,-37.6
-19.5,991.7,-35.2
-20.0,993.1999999999999,-33.7
-18.599999999999998,990.1999999999999,-37.6
-18.599999999999998,992.7,-37.1
-17.6,994.1,-37.1
-16.6,992.1999999999999,-35.2
-16.1,989.7,-36.1
-17.6,992.7,-38.1
-18.599999999999998,991.7,-38.1
-17.1,991.7,-37.1
-18.1,990.7,-38.6
-17.1,990.1999999999999,-37.1
-16.6,990.7,-34.2
-17.1,992.1999999999999,-34.2
-17.6,991.7,-35.2
-19.0,992.1999999999999,-35.2
-17.1,992.7,-35.6
-19.0,989.7,-35.6
-19.0,989.3,-35.6
-17.6,989.7,-36.6
-17.6,990.7,-35.6
-17.1,993.7,-34.7
-17.6,993.1999999999999,-34.2
-19.0,991.7,-34.7
-19.5,992.7,-33.2
-18.599999999999998,992.7,-34.7
-19.5,992.1999999999999,-35.2
-17.1,992.7,-34.7
-19.0,990.1999999999999,-32.7
-17.6,991.1999999999999,-33.2
-17.1,993.1999999999999,-33.7
-15.6,991.7,-33.7
-17.1,991.1999999999999,-32.7
-18.1,992.7,-38.6
-18.599999999999998,990.7,-36.6
-18.1,988.8000000000001,-36.6
-19.0,989.7,-31.7
-16.6,992.1999999999999,-36.6
-19.0,993.1999999999999,-36.6
-19.0,990.7,-35.2
-19.0,988.3,-35.6
-20.0,989.3,-37.1
-19.0,992.1999999999999,-33.7
-17.1,991.1999999999999,-34.2
-19.5,989.7,-34.2
-17.1,990.1999999999999,-33.7
-19.5,991.7,-32.7
-19.0,990.1999999999999,-36.6
-18.1,990.7,-34.7
-17.1,990.1999999999999,-38.1
-17.1,989.7,-38.6
-17.1,990.1999999999999,-35.2
-17.6,991.7,-35.2
-18.1,990.7,-34.7
-19.0,990.7,-34.7
-18.1,991.7,-34.7
-17.1,990.7,-35.2
-18.599999999999998,992.1999999999999,-36.6
-17.6,991.1999999999999,-37.1
-17.6,990.1999999999999,-36.6
-19.0,991.7,-37.1
-18.599999999999998,991.1999999999999,-38.6
-19.5,990.7,-32.7
-17.6,991.1999999999999,-33.7
-18.1,992.1999999999999,-37.6
-19.0,992.7,-37.1
-20.0,991.1999999999999,-37.6
-19.5,991.1999999999999,-37.1
-18.599999999999998,992.7,-36.1
-19.5,991.1999999999999,-36.1
-17.6,992.1999999999999,-30.8
-18.599999999999998,992.1999999999999,-35.2
-18.599999999999998,990.7,-34.2
-18.1,989.7,-36.1
-20.0,991.7,-34.7
-19.5,989.7,-36.1
-19.0,991.7,-35.2
-17.6,992.1999999999999,-36.1
-16.6,990.1999999999999,-36.1
-17.6,991.7,-38.6
-17.1,989.3,-34.2
-19.0,988.8000000000001,-35.6
-18.1,990.7,-32.7
-18.599999999999998,988.8000000000001,-36.1
-19.0,992.1999999999999,-37.1
-18.599999999999998,991.7,-33.2
-19.0,991.1999999999999,-31.2
-19.0,990.7,-34.2
-17.1,993.1999999999999,-36.1
-19.0,991.1999999999999,-35.2
-18.1,992.1999999999999,-37.1
-18.599999999999998,991.1999999999999,-39.1
-18.1,991.7,-36.6
-17.6,991.7,-35.2
-18.599999999999998,992.7,-34.2
-17.1,992.7,-37.1
-18.1,992.1999999999999,-35.6
-18.599999999999998,992.7,-32.2
-18.599999999999998,992.1999999999999,-33.2
-18.599999999999998,991.7,-32.2
-18.599999999999998,992.1999999999999,-33.2
-20.0,990.1999999999999,-35.2
-18.1,991.1999999999999,-36.1
-19.0,992.7,-37.6
-18.1,990.7,-33.2
