acceleration_in_x,acceleration_in_y,acceleration_in_z
-16,-15,1000
-16,-14,1000
-17,-15,1001
-15,-13,999
-14,-12,1003
-15,-14,998
-16,-16,995
-17,-14,1003
-17,-13,1000
-17,-12,1000
-17,-14,1004
-17,-14,1001
-14,-14,998
-17,-14,999
-16,-12,1000
-15,-14,999
-15,-15,1000
-17,-14,1001
-16,-15,1000
-17,-16,1000
-14,-14,1001
-16,-12,1000
-16,-13,998
-16,-16,1000
-16,-14,1001
-15,-17,1000
-17,-14,1002
-16,-13,1000
-16,-15,1004
-14,-15,1000
-13,-15,1000
-15,-15,1001
-16,-14,1002
-17,-15,998
-14,-14,998
-14,-16,1000
-16,-16,1001
-17,-16,999
-16,-14,1001
-17,-15,1000
-16,-14,998
-14,-14,998
-16,-14,1002
-13,-16,999
-16,-13,1001
-17,-15,999
-16,-14,999
-16,-15,1002
-14,-14,1001
-17,-14,1001
-16,-16,998
-17,-13,1001
-15,-15,997
-18,-15,999
-15,-14,1001
-16,-16,993
-16,-14,1000
-15,-12,1003
-14,-14,1000
-17,-13,1000
-14,-15,1000
-15,-15,1005
-17,-14,995
-16,-14,1001
-15,-16,1000
-15,-16,996
-15,-14,1002
-15,-15,998
-17,-15,1002
-16,-15,1000
-17,-14,998
-17,-14,998
-17,-14,1001
-15,-14,1000
-14,-16,1003
-18,-14,995
-16,-16,1002
-16,-15,998
-16,-13,1000
-17,-16,1000
-16,-15,1000
-18,-13,999
-14,-15,999
-16,-15,1000
-17,-14,1001
-16,-14,998
-16,-16,1000
-18,-14,1002
-17,-15,1001
-17,-14,1000
-15,-15,1001
-15,-13,1000
-18,-14,998
-16,-13,1000
-15,-15,1000
-16,-14,999
-17,-14,1002
-14,-13,1003
-16,-16,1002
-16,-16,1005
-15,-14,1001
-14,-13,1000
-18,-13,999
-16,-13,1000
-16,-14,1000
-16,-15,997
-14,-13,1002
-16,-14,1000
-16,-13,997
-16,-13,998
-15,-12,1001
-13,-14,999
-17,-13,1000
-14,-14,997
-17,-14,1002
-18,-16,999
-14,-14,1004
-14,-15,1002
-16,-14,1000
-20,-15,1002
-16,-14,1003
-17,-17,1000
-16,-14,1001
-15,-15,1002
-19,-14,1001
-17,-14,1001
-16,-14,1001
-16,-16,1000
-16,-14,998
-14,-15,1000
-14,-14,1001
-16,-17,1000
-16,-15,999
-16,-13,1001
-15,-15,999
-16,-13,1000
-17,-15,1002
-17,-14,1000
-17,-15,999
-15,-14,1002
-18,-14,1001
-16,-13,1002
-18,-15,1002
-16,-14,999
-17,-14,1000
-16,-15,1002
-16,-16,999
-16,-14,1001
-16,-14,998
-14,-14,1000
-17,-14,996
-14,-14,1001
-17,-13,1001
-15,-14,999
-16,-14,997
-16,-14,1000
-16,-16,1002
-16,-12,1011
-15,-15,997
-17,-13,998
-18,-13,998
-19,-16,1000
-14,-14,1002
-15,-16,998
-15,-14,1000
-16,-15,1000
-16,-14,1000
-15,-15,1000
-16,-13,998
-16,-14,1000
-15,-15,1004
-17,-15,1002
-17,-14,1001
-17,-16,998
-16,-15,1002
-17,-14,1003
-17,-14,1001
-16,-14,1000
-17,-16,1001
-15,-14,1000
-15,-16,1001
-14,-15,1001
-16,-15,998
-15,-15,1000
-15,-13,1002
-16,-15,1002
-15,-14,997
-15,-14,1000
-14,-14,1000
-16,-16,1002
-16,-16,999
-15,-14,998
-17,-15,998
-17,-16,1001
-17,-14,998
-16,-12,997
-17,-14,998
-15,-13,1001
-16,-14,1000
-16,-13,999
-17,-13,1000
-15,-14,1001
-17,-13,1001
-14,-12,1000
-16,-14,997
-17,-13,998
-16,-14,1000
-17,-14,1002
-18,-14,1001
-16,-14,999
-15,-15,1002
-17,-13,1002
-16,-13,1001
-16,-10,1002
-16,-15,999
-16,-15,1002
-16,-13,1001
-16,-12,998
-16,-13,1002
-17,-14,1002
-13,-13,1003
-18,-15,1001
-14,-13,999
-15,-15,999
-16,-15,998
-16,-16,1000
-14,-14,998
-15,-14,998
-16,-15,1000
-17,-14,1000
-15,-14,1000
-15,-13,1001
-14,-13,996
-15,-15,1002
-16,-15,1001
-18,-15,1000
-16,-12,1000
-17,-15,1000
-17,-13,1002
-16,-16,999
-16,-15,1001
-17,-15,1000
-16,-14,1001
-17,-14,1000
-15,-15,1000
-17,-13,1001
-14,-14,1003
-15,-14,1002
-18,-15,999
-15,-13,1000
-15,-17,998
-16,-14,997
-15,-14,998
-16,-14,999
-15,-14,998
-15,-15,1000
-15,-15,999
-16,-14,1002
-16,-14,998
-15,-14,1003
-16,-15,1000
-13,-14,998
-18,-14,999
-17,-12,998
-15,-12,1003
-15,-16,1000
-16,-15,1000
-16,-14,999
-16,-15,1000
-16,-13,1000
