acceleration_in_x,acceleration_in_y,acceleration_in_z
-5,-1017,-16
-7,-1017,-20
-7,-1017,-17
-6,-1019,-16
-8,-1019,-19
-7,-1018,-15
-7,-1017,-17
-6,-1017,-16
-6,-1016,-17
-5,-1017,-18
-7,-1015,-17
-5,-1017,-15
-5,-1014,-16
-5,-1018,-19
-5,-1016,-18
-5,-1015,-20
-7,-1015,-18
-5,-1016,-16
-7,-1018,-17
-6,-1018,-15
-7,-1017,-19
-8,-1016,-16
-6,-1014,-17
-7,-1016,-14
-6,-1015,-17
-6,-1017,-19
-9,-1016,-19
-6,-1017,-16
-7,-1016,-18
-8,-1015,-19
-7,-1017,-16
-6,-1016,-18
-9,-1016,-17
-7,-1018,-15
-6,-1015,-17
-5,-1015,-20
-7,-1018,-18
-6,-1015,-15
-6,-1015,-16
-7,-1017,-17
-8,-1015,-17
-6,-1016,-17
-6,-1018,-16
-5,-1016,-18
-8,-1017,-17
-5,-1016,-20
-7,-1015,-17
-6,-1015,-18
-5,-1015,-18
-5,-1017,-16
-8,-1017,-18
-6,-1017,-15
-7,-1017,-14
-5,-1016,-17
-5,-1016,-18
-7,-1017,-16
-5,-1016,-19
-7,-1015,-20
-7,-1017,-18
-8,-1017,-16
-7,-1017,-17
-6,-1017,-17
-5,-1016,-19
-6,-1016,-14
-5,-1019,-15
-6,-1016,-20
-7,-1017,-17
-6,-1018,-15
-8,-1016,-15
-6,-1016,-16
-6,-1018,-18
-7,-1018,-16
-7,-1018,-19
-7,-1015,-17
-8,-1018,-15
-6,-1015,-17
-5,-1017,-15
-5,-1016,-20
-8,-1014,-14
-8,-1018,-17
-4,-1016,-14
-6,-1017,-19
-6,-1016,-16
-5,-1019,-11
-5,-1014,-16
-5,-1017,-18
-5,-1018,-15
-4,-1016,-18
-8,-1017,-19
-8,-1020,-18
-5,-1017,-15
-8,-1017,-18
-4,-1016,-17
-6,-1016,-16
-6,-1018,-22
-7,-1017,-17
-7,-1016,-17
-6,-1015,-18
-4,-1016,-20
-5,-1015,-16
-7,-1016,-16
