acceleration_in_x,acceleration_in_y,acceleration_in_z
702.0999999999999,-10.3,691.9
700.7,-10.3,692.4
702.6,-9.799999999999999,690.9
701.7,-8.8,691.4
701.7,-7.8,691.4
702.0999999999999,-7.3,694.8
702.0999999999999,-8.8,692.9
701.7,-10.3,690.4
703.0999999999999,-10.7,695.3000000000001
704.6,-7.8,692.9
704.0999999999999,-9.799999999999999,692.4
701.7,-10.7,692.9
702.0999999999999,-9.799999999999999,691.4
703.0999999999999,-10.7,691.4
702.6,-7.3,690.4
701.2,-9.799999999999999,692.4
701.7,-7.3,692.9
702.6,-9.299999999999999,693.4
702.0999999999999,-8.8,691.9
702.0999999999999,-10.3,690.4
703.0999999999999,-10.7,692.9
703.0999999999999,-9.799999999999999,695.3000000000001
702.0999999999999,-9.799999999999999,690.9
703.6,-11.2,689.9
704.6,-9.299999999999999,693.4
701.7,-10.3,691.4
703.6,-9.799999999999999,694.3000000000001
701.7,-8.8,696.3000000000001
701.2,-9.799999999999999,693.8
701.7,-9.799999999999999,690.4
703.6,-10.3,694.3000000000001
701.7,-9.799999999999999,689.9
703.0999999999999,-7.8,691.4
702.6,-9.799999999999999,693.4
701.7,-8.8,693.8
702.0999999999999,-10.3,689.9
703.0999999999999,-10.3,692.4
701.7,-8.8,692.9
703.0999999999999,-8.3,693.4
701.7,-6.8,693.4
701.7,-8.3,691.9
701.7,-9.299999999999999,693.8
700.2,-10.3,694.8
701.2,-9.299999999999999,695.3000000000001
700.7,-9.299999999999999,692.9
700.7,-9.299999999999999,694.8
701.7,-9.799999999999999,694.3000000000001
701.7,-10.3,695.3000000000001
702.0999999999999,-11.2,694.8
702.0999999999999,-10.3,691.4
701.7,-11.2,692.9
702.0999999999999,-9.299999999999999,690.9
703.0999999999999,-9.299999999999999,689.0
703.6,-10.3,689.9
703.0999999999999,-9.799999999999999,690.9
702.6,-9.799999999999999,694.3000000000001
705.0999999999999,-8.8,690.9
703.0999999999999,-8.8,690.9
702.6,-7.8,689.5
702.0999999999999,-8.3,687.5
701.7,-9.799999999999999,691.4
703.0999999999999,-8.8,692.9
702.0999999999999,-9.799999999999999,694.3000000000001
701.7,-8.8,691.4
701.7,-8.3,693.4
700.7,-9.299999999999999,696.3000000000001
701.2,-8.8,692.4
702.6,-9.799999999999999,693.4
700.7,-9.299999999999999,690.4
700.7,-9.299999999999999,692.4
702.0999999999999,-8.3,690.9
703.6,-8.8,692.4
704.6,-6.8,692.4
703.6,-7.8,690.9
701.2,-9.299999999999999,694.8
702.6,-8.8,690.9
702.6,-6.8,689.0
704.6,-8.3,689.5
702.0999999999999,-11.2,695.8
701.2,-10.3,695.8
703.0999999999999,-8.3,693.4
703.6,-7.3,690.4
702.6,-9.299999999999999,691.9
701.7,-7.8,690.9
704.6,-8.3,688.5
703.0999999999999,-8.8,691.9
701.7,-6.3,696.3000000000001
701.2,-8.3,695.3000000000001
703.0999999999999,-8.8,692.9
702.6,-8.3,694.3000000000001
703.6,-8.8,694.8
700.7,-9.799999999999999,694.3000000000001
702.0999999999999,-8.3,692.4
702.6,-9.299999999999999,693.4
702.6,-10.3,691.4
701.7,-10.7,690.4
699.7,-10.3,690.9
699.7,-6.3,693.4
701.7,-8.3,694.8
703.0999999999999,-9.299999999999999,694.3000000000001
702.6,-7.3,693.8
703.6,-8.3,692.4
702.0999999999999,-9.799999999999999,691.4
701.2,-9.299999999999999,691.4
701.2,-8.3,687.5
701.7,-9.299999999999999,689.5
701.7,-10.3,689.5
702.6,-8.8,688.0
702.6,-8.8,687.0
702.0999999999999,-9.299999999999999,690.9
702.6,-9.799999999999999,694.3000000000001
703.6,-8.8,692.9
703.6,-9.299999999999999,693.4
704.0999999999999,-8.8,694.3000000000001
704.0999999999999,-9.299999999999999,693.4
703.0999999999999,-9.799999999999999,691.4
703.0999999999999,-10.7,691.9
705.0999999999999,-9.299999999999999,693.4
702.0999999999999,-8.3,695.3000000000001
703.0999999999999,-7.3,692.4
703.0999999999999,-7.8,691.9
701.7,-8.8,691.4
702.6,-9.299999999999999,693.8
702.0999999999999,-6.8,690.4
700.2,-6.8,691.4
701.2,-9.299999999999999,690.9
703.6,-11.700000000000001,689.9
703.0999999999999,-10.3,688.0
705.0999999999999,-10.7,689.9
703.0999999999999,-9.799999999999999,690.4
702.0999999999999,-8.3,692.4
703.0999999999999,-9.299999999999999,689.0
704.6,-7.3,692.9
703.6,-9.799999999999999,691.9
701.2,-9.299999999999999,690.9
701.7,-8.8,690.4
703.0999999999999,-9.299999999999999,695.3000000000001
704.0999999999999,-10.7,692.9
703.6,-8.8,694.8
702.6,-10.7,693.4
704.6,-9.799999999999999,694.3000000000001
702.0999999999999,-11.2,693.8
703.6,-8.8,694.3000000000001
705.0999999999999,-8.8,693.4
700.7,-8.8,689.5
702.6,-9.299999999999999,691.9
703.0999999999999,-8.8,690.9
700.2,-9.799999999999999,690.4
702.0999999999999,-8.3,693.8
704.6,-8.3,694.3000000000001
702.6,-7.8,692.9
700.2,-7.3,696.3000000000001
701.2,-9.299999999999999,695.3000000000001
703.6,-9.299999999999999,693.8
703.0999999999999,-8.3,693.8
701.7,-7.8,690.9
701.2,-10.3,691.4
701.7,-9.799999999999999,693.4
701.2,-11.2,691.9
700.2,-8.3,690.9
702.0999999999999,-8.3,691.4
700.7,-9.299999999999999,692.9
702.6,-10.7,694.3000000000001
701.2,-10.3,697.3000000000001
702.0999999999999,-8.8,694.8
702.6,-8.8,693.8
702.0999999999999,-9.299999999999999,695.3000000000001
702.0999999999999,-9.799999999999999,694.8
704.6,-8.8,696.8
702.6,-8.8,693.8
702.0999999999999,-8.8,694.3000000000001
703.6,-6.3,694.3000000000001
701.7,-8.3,691.4
701.2,-9.799999999999999,690.9
703.0999999999999,-8.3,692.9
702.6,-8.8,692.4
702.0999999999999,-9.299999999999999,693.4
703.0999999999999,-8.3,692.4
704.6,-9.299999999999999,692.4
704.0999999999999,-9.799999999999999,692.4
701.2,-9.299999999999999,692.9
702.0999999999999,-7.3,695.8
702.0999999999999,-8.8,692.4
703.0999999999999,-10.3,691.4
701.7,-9.299999999999999,689.9
701.2,-9.299999999999999,690.4
702.0999999999999,-7.3,693.8
704.0999999999999,-6.8,689.9
703.0999999999999,-9.299999999999999,691.9
703.6,-7.8,691.9
701.2,-9.299999999999999,694.3000000000001
701.2,-8.8,690.9
701.7,-7.8,692.4
703.6,-9.799999999999999,692.4
702.0999999999999,-8.8,691.4
702.6,-7.8,693.8
703.6,-10.3,694.3000000000001
703.6,-9.799999999999999,694.8
704.6,-6.8,693.4
704.6,-7.3,691.4
703.0999999999999,-7.8,692.9
702.6,-7.3,692.4
701.7,-9.299999999999999,693.8
702.0999999999999,-8.3,694.8
702.6,-7.3,694.3000000000001
704.0999999999999,-7.3,691.9
703.6,-8.8,692.4
702.6,-10.3,693.8
701.2,-9.299999999999999,694.8
699.7,-9.799999999999999,695.8
701.7,-6.8,694.8
703.0999999999999,-8.3,693.8
702.6,-8.8,693.4
702.0999999999999,-7.8,691.4
702.0999999999999,-8.3,691.9
703.0999999999999,-8.8,692.4
706.0999999999999,-10.7,692.4
705.0999999999999,-9.299999999999999,690.9
703.6,-10.7,691.4
702.6,-9.799999999999999,693.8
702.0999999999999,-9.299999999999999,693.8
703.6,-8.3,692.4
703.0999999999999,-9.299999999999999,696.8
705.0999999999999,-9.299999999999999,691.4
703.6,-9.799999999999999,693.4
704.0999999999999,-9.799999999999999,692.9
702.6,-8.3,693.4
704.0999999999999,-8.3,692.9
704.6,-8.8,691.9
702.0999999999999,-9.799999999999999,692.9
701.2,-7.3,694.8
702.6,-8.3,695.3000000000001
703.6,-10.3,691.4
703.0999999999999,-10.3,691.9
703.6,-8.8,688.5
703.0999999999999,-9.299999999999999,691.9
704.0999999999999,-8.3,693.8
701.2,-7.8,689.9
701.2,-8.3,693.4
703.0999999999999,-9.299999999999999,694.3000000000001
702.6,-10.7,693.4
703.0999999999999,-8.3,693.8
704.6,-8.3,693.4
702.6,-8.8,692.4
701.7,-11.2,691.4
700.2,-8.3,692.9
702.0999999999999,-9.299999999999999,692.9
702.0999999999999,-7.8,692.9
702.0999999999999,-9.799999999999999,691.9
703.0999999999999,-10.3,691.9
702.6,-8.8,694.3000000000001
702.6,-6.3,692.4
700.7,-8.3,689.9
701.7,-9.799999999999999,692.9
703.0999999999999,-8.8,692.4
703.0999999999999,-9.299999999999999,693.4
703.0999999999999,-8.3,690.4
705.6,-8.8,690.9
703.0999999999999,-9.799999999999999,692.4
701.7,-8.3,692.9
705.0999999999999,-7.8,696.3000000000001
704.0999999999999,-9.799999999999999,694.3000000000001
701.2,-9.299999999999999,691.9
701.7,-8.3,690.9
700.7,-9.299999999999999,692.9
702.0999999999999,-8.3,694.8
702.6,-8.3,692.4
704.0999999999999,-9.299999999999999,689.9
701.2,-10.3,694.8
700.2,-9.799999999999999,694.3000000000001
700.2,-8.3,692.9
701.7,-7.3,691.9
702.6,-9.299999999999999,690.4
702.0999999999999,-10.7,690.9
702.6,-9.799999999999999,692.9
701.7,-10.7,691.9
700.7,-9.799999999999999,693.8
702.0999999999999,-8.3,692.9
703.0999999999999,-9.799999999999999,697.3000000000001
702.0999999999999,-8.8,693.4
704.0999999999999,-8.3,693.4
702.6,-8.8,690.4
703.6,-7.8,691.9
701.7,-7.8,694.3000000000001
702.6,-8.3,692.9
703.6,-8.3,689.9
703.6,-9.799999999999999,692.4
701.7,-8.8,693.4
701.7,-11.2,692.9
701.7,-10.7,691.4
702.0999999999999,-9.299999999999999,692.9
702.0999999999999,-10.3,691.9
702.0999999999999,-6.8,695.3000000000001
701.7,-8.8,691.4
702.0999999999999,-8.3,694.8
700.7,-8.8,693.8
699.2,-7.8,693.4
701.2,-8.8,695.3000000000001
703.0999999999999,-8.8,694.3000000000001
701.7,-9.299999999999999,691.9
701.2,-6.8,693.4
700.7,-8.3,695.3000000000001
700.2,-8.3,693.8
702.0999999999999,-8.3,690.9
701.2,-10.7,692.9
702.0999999999999,-9.799999999999999,690.9
704.0999999999999,-9.299999999999999,692.4
702.6,-9.299999999999999,691.9
701.7,-8.8,695.8
702.0999999999999,-7.3,694.3000000000001
700.7,-8.3,693.4
703.0999999999999,-9.299999999999999,692.4
700.7,-8.3,694.8
702.0999999999999,-7.8,692.9
701.2,-9.799999999999999,689.9
703.0999999999999,-9.799999999999999,691.4
701.2,-10.3,690.9
700.2,-9.299999999999999,693.8
703.0999999999999,-9.799999999999999,694.8
703.0999999999999,-8.3,691.9
703.6,-8.3,693.4
703.6,-6.8,695.3000000000001
702.6,-8.8,696.3000000000001
701.2,-9.299999999999999,692.9
702.0999999999999,-9.299999999999999,690.9
703.0999999999999,-9.799999999999999,695.3000000000001
702.6,-9.799999999999999,693.4
702.0999999999999,-10.3,692.9
702.0999999999999,-10.7,693.8
703.0999999999999,-10.7,694.3000000000001
702.0999999999999,-8.8,691.9
701.2,-9.799999999999999,689.0
701.2,-9.299999999999999,691.4
701.7,-8.8,691.9
702.0999999999999,-8.8,694.3000000000001
702.6,-8.3,692.4
702.6,-7.8,691.9
700.7,-8.3,688.0
702.6,-9.799999999999999,691.4
703.0999999999999,-10.3,693.8
702.0999999999999,-10.7,693.8
701.2,-10.3,692.9
702.0999999999999,-11.2,693.8
703.6,-11.2,693.8
703.0999999999999,-9.299999999999999,696.3000000000001
702.0999999999999,-9.299999999999999,695.3000000000001
701.2,-9.299999999999999,692.9
700.2,-9.799999999999999,693.4
701.7,-9.299999999999999,692.4
703.6,-8.8,693.4
704.0999999999999,-8.8,691.4
703.6,-9.299999999999999,693.8
704.6,-9.299999999999999,692.9
703.6,-8.8,691.4
702.6,-9.799999999999999,690.9
702.0999999999999,-10.3,689.9
702.6,-10.3,692.9
705.0999999999999,-7.8,693.8
702.0999999999999,-9.799999999999999,690.9
701.7,-10.3,694.3000000000001
702.6,-10.7,694.8
702.0999999999999,-8.8,691.4
703.0999999999999,-7.3,691.9
701.2,-7.8,690.4
702.0999999999999,-8.3,689.5
703.0999999999999,-9.799999999999999,693.8
703.0999999999999,-9.299999999999999,692.9
701.2,-7.8,691.4
703.0999999999999,-6.8,692.9
703.0999999999999,-7.8,693.8
701.7,-9.299999999999999,693.8
701.7,-7.8,690.9
700.2,-9.799999999999999,693.8
700.7,-10.3,695.8
702.0999999999999,-11.2,695.3000000000001
703.6,-9.299999999999999,694.3000000000001
