acceleration_in_x,acceleration_in_y,acceleration_in_z
-741.1999999999999,2.0,-716.8
-740.1999999999999,2.4,-716.3000000000001
-739.7,2.0,-717.8
-740.7,3.9,-714.4000000000001
-741.7,2.9,-719.1999999999999
-741.7,2.4,-717.3000000000001
-740.7,1.5,-715.3000000000001
-741.1999999999999,3.9,-714.4000000000001
-741.1999999999999,3.9,-715.8
-743.1999999999999,3.4,-720.1999999999999
-742.7,2.4,-714.8
-742.7,2.9,-715.3000000000001
-740.1999999999999,2.9,-715.8
-740.7,2.4,-716.8
-740.7,2.4,-718.3000000000001
-742.1999999999999,2.4,-717.8
-741.1999999999999,3.4,-715.8
-740.1999999999999,1.5,-713.9
-741.1999999999999,2.9,-715.3000000000001
-741.1999999999999,2.9,-720.1999999999999
-741.1999999999999,2.9,-716.8
-741.1999999999999,2.0,-715.8
-741.1999999999999,1.5,-716.3000000000001
-741.7,1.0,-718.8
-742.7,2.0,-720.1999999999999
-741.7,2.0,-714.8
-741.1999999999999,3.9,-716.3000000000001
-741.7,1.5,-717.3000000000001
-741.1999999999999,1.5,-715.8
-742.1999999999999,2.9,-713.9
-742.7,2.9,-717.8
-743.1999999999999,3.9,-716.8
-742.7,2.0,-719.1999999999999
-742.7,1.5,-718.8
-739.7,2.9,-719.1999999999999
-740.1999999999999,2.9,-715.3000000000001
-740.1999999999999,1.5,-715.3000000000001
-740.7,2.9,-717.3000000000001
-741.1999999999999,4.4,-714.8
-741.1999999999999,3.4,-713.4000000000001
-743.1999999999999,2.9,-715.8
-742.1999999999999,2.9,-718.8
-740.7,4.4,-716.3000000000001
-743.1999999999999,2.0,-716.8
-740.7,2.9,-713.4000000000001
-739.7,5.4,-713.9
-741.1999999999999,3.4,-712.9
-742.1999999999999,2.4,-713.4000000000001
-741.7,2.9,-718.8
-740.7,2.0,-716.3000000000001
-742.7,2.0,-717.8
-742.7,3.4,-716.3000000000001
-742.1999999999999,2.0,-717.3000000000001
-742.1999999999999,4.4,-716.3000000000001
-741.7,1.0,-713.9
-741.7,2.4,-716.3000000000001
-742.1999999999999,2.4,-716.8
-742.1999999999999,1.0,-718.3000000000001
-741.7,2.0,-721.7
-742.1999999999999,2.0,-722.7
-742.1999999999999,2.4,-718.8
-741.1999999999999,3.4,-714.8
-741.1999999999999,1.5,-717.8
-743.1999999999999,2.4,-716.8
-743.1999999999999,1.5,-718.3000000000001
-742.1999999999999,2.0,-717.8
-742.1999999999999,2.0,-716.8
-742.1999999999999,3.4,-717.3000000000001
-739.7,2.0,-718.3000000000001
-740.7,3.4,-715.8
-741.1999999999999,2.0,-713.4000000000001
-742.1999999999999,2.9,-714.8
-741.1999999999999,2.0,-716.8
-742.7,2.0,-718.8
-740.7,2.0,-718.3000000000001
-741.7,3.4,-714.8
-742.1999999999999,3.4,-718.8
-741.1999999999999,2.9,-717.8
-741.1999999999999,4.4,-717.8
-742.1999999999999,2.0,-720.1999999999999
-742.1999999999999,1.5,-717.8
-743.1999999999999,2.0,-715.8
-742.7,0.5,-716.3000000000001
-742.1999999999999,2.4,-715.3000000000001
-740.1999999999999,2.4,-714.8
-741.7,2.9,-719.7
-741.7,1.5,-716.8
-742.7,4.4,-720.1999999999999
-741.1999999999999,4.8999999999999995,-718.3000000000001
-740.1999999999999,2.4,-720.1999999999999
-742.7,2.4,-717.8
-740.1999999999999,3.9,-715.3000000000001
-740.7,2.9,-717.3000000000001
-740.1999999999999,3.4,-714.4000000000001
-741.7,3.4,-715.3000000000001
-740.7,4.4,-716.8
-742.7,4.4,-716.3000000000001
-740.1999999999999,3.9,-717.8
-740.7,2.4,-718.3000000000001
-741.1999999999999,2.0,-719.1999999999999
-740.1999999999999,3.9,-717.8
-741.7,3.4,-720.1999999999999
-741.1999999999999,4.8999999999999995,-719.7
-742.1999999999999,2.9,-718.8
-740.7,2.9,-717.8
-739.3,2.9,-715.3000000000001
-742.7,2.9,-715.3000000000001
-742.1999999999999,2.9,-715.8
-741.1999999999999,2.9,-718.8
-740.7,2.0,-717.3000000000001
-742.7,4.4,-720.7
-740.7,3.4,-719.1999999999999
-740.7,2.0,-720.7
-741.1999999999999,2.9,-717.8
-740.1999999999999,2.4,-717.3000000000001
-741.1999999999999,4.4,-717.3000000000001
-742.1999999999999,4.8999999999999995,-715.3000000000001
-742.1999999999999,2.9,-715.8
-742.1999999999999,2.9,-716.3000000000001
-741.1999999999999,2.9,-718.3000000000001
-740.7,2.4,-716.8
-740.1999999999999,3.4,-714.8
-740.7,2.9,-717.3000000000001
-741.1999999999999,3.9,-716.8
-742.7,5.4,-714.8
-741.7,1.5,-713.9
-739.7,2.0,-715.3000000000001
-741.7,1.0,-718.3000000000001
-742.7,1.0,-717.3000000000001
-741.1999999999999,2.0,-715.8
-740.1999999999999,4.4,-714.8
-741.1999999999999,2.9,-719.1999999999999
-742.1999999999999,4.8999999999999995,-716.8
-741.1999999999999,5.4,-713.4000000000001
-743.1999999999999,2.9,-717.3000000000001
-742.1999999999999,2.4,-717.3000000000001
-741.7,2.4,-717.3000000000001
-740.7,2.4,-714.8
-741.7,2.9,-712.9
-741.1999999999999,1.5,-714.8
-741.1999999999999,2.4,-716.8
-743.1999999999999,3.4,-717.3000000000001
-741.1999999999999,4.4,-714.8
-739.7,2.4,-714.4000000000001
-739.3,2.9,-713.9
-741.1999999999999,2.9,-713.4000000000001
-741.7,2.4,-717.8
-740.7,3.4,-719.7
-741.1999999999999,3.9,-716.8
-742.1999999999999,3.9,-715.3000000000001
-742.1999999999999,5.4,-718.3000000000001
-740.1999999999999,5.8999999999999995,-717.8
-744.1,4.4,-717.3000000000001
-743.1999999999999,3.9,-719.7
-742.1999999999999,3.4,-714.8
-742.1999999999999,2.9,-718.3000000000001
-742.7,3.4,-713.9
-742.1999999999999,2.9,-715.3000000000001
-741.7,5.4,-715.3000000000001
-740.7,3.4,-715.8
-741.7,3.4,-720.7
-740.1999999999999,2.9,-720.7
-740.7,2.4,-724.6
-741.1999999999999,2.4,-722.7
-742.7,3.4,-718.3000000000001
-742.1999999999999,2.4,-714.4000000000001
-741.1999999999999,2.9,-718.3000000000001
-739.3,2.0,-716.8
-740.7,2.4,-715.8
-739.3,2.0,-716.3000000000001
-742.1999999999999,2.0,-714.8
-741.1999999999999,1.0,-717.3000000000001
-739.7,1.5,-715.3000000000001
-742.1999999999999,3.4,-716.3000000000001
-742.1999999999999,3.9,-716.3000000000001
-741.1999999999999,2.4,-718.3000000000001
